hanzi,tl,frequency,poj
鬧熱,lāu-jia̍t,100,lāu-jia̍t
鰓,tshi,100,chhi
點鐘,tiám-tsing,100,tiám-cheng
匾,pián,50,pián
弧,hôo,50,hô͘
砷,sin,50,sin
磁,tsû,50,chû
礬,huân,50,hoân
笙,sing,50,seng
箏,tsing,50,cheng
芟,sing,50,seng
莖,king,50,keng
虹,khīng,50,khēng
蛹,ióng,50,ióng
鈔,tshau,50,chhau
鉻,kok,50,kok
霾,bâi,50,bâi
鰭,kî,50,kî
尾仔,bué-á,30,bóe-á
bàng-gà,bàng-gà,25,bàng-gà
gì-tà,gì-tà,25,gì-tà
gí仔,gí-á,25,gí-á
góo-lòo,góo-lòo,25,gó͘-lò͘
hi̍t-á,hi̍t-á,25,hi̍t-á
há-ti,há-ti,25,há-ti
ió-gà,ió-gà,25,ió-gà
iú-lih,iú-lih,25,iú-lih
mài-kuh,mài-kuh,25,mài-kuh
mè-sù,mè-sù,25,mè-sù
mí-lih,mí-lih,25,mí-lih
mòo-tà,mòo-tà,25,mò͘-tà
phi̋n-phóng,phi̋n-phóng,25,phĭn-phóng
sa̋n-sín,sa̋n-sín,25,săn-sín
sàng-sòo,sàng-sòo,25,sàng-sò͘
àu-tsirh,àu-tsirh,25,àu-chirh
àu-tsuh,àu-tsuh,25,àu-chuh
七律,tshit-lu̍t,25,chhit-lu̍t
七言,tshit-giân,25,chhit-giân
三拍,sam-phik,25,sam-phek
三拍,sann-phik,25,saⁿ-phek
三絃,sam-hiân,25,sam-hiân
上殕,tshiūnn-phú,25,chhiūⁿ-phú
上游,siōng-iû,25,siōng-iû
上籃,tsiūnn-nâ,25,chiūⁿ-nâ
下游,hā-iû,25,hā-iû
丙酮,piánn-tông,25,piáⁿ-tông
並聯,pīng-liân,25,pēng-liân
中子,tiong-tsú,25,tiong-chú
中板,tiong-pán,25,tiong-pán
中游,tiong-iû,25,tiong-iû
中笙,tiong-sing,25,tiong-seng
中胡,tiong-ôo,25,tiong-ô͘
中藥,tiong-io̍h,25,tiong-io̍h
中醫,tiong-i,25,tiong-i
中鋒,tiong-hong,25,tiong-hong
串聯,tshuàn-liân,25,chhoàn-liân
主旨,tsú-tsí,25,chú-chí
主機,tsú-ki,25,chú-ki
主語,tsú-gí,25,chú-gí
主音,tsú-im,25,chú-im
乘式,sîng-sik,25,sêng-sek
乘數,sîng-sòo,25,sêng-sò͘
乘法,sîng-huat,25,sêng-hoat
乘積,sîng-tsik,25,sêng-chek
乘號,sîng-hō,25,sêng-hō
乙醇,it-sûn,25,it-sûn
二絃,jī-hiân,25,jī-hiân
二胡,jī-ôo,25,jī-ô͘
互生,hōo-sing,25,hō͘-seng
互補,hōo-póo,25,hō͘-pó͘
互質,hōo-tsit,25,hō͘-chit
互逆,hōo-gi̍k,25,hō͘-ge̍k
五官,ngóo-kuan,25,ngó͘-koan
五律,ngóo-lu̍t,25,ngó͘-lu̍t
五經,ngóo-king,25,ngó͘-keng
五言,ngóo-giân,25,ngó͘-giân
亞運,a-ūn,25,a-ūn
交尾,kau-bué,25,kau-bóe
交配,kau-phuè,25,kau-phòe
京戲,kiann-hì,25,kiaⁿ-hì
亳米,hô-bí,25,hô-bí
人物,jîn-bu̍t,25,jîn-bu̍t
人稱,jîn-tshing,25,jîn-chheng
人聲,lâng-siann,25,lâng-siaⁿ
人際,jîn-tsè,25,jîn-chè
仝勻,kāng-ûn,25,kāng-ûn
仝沿,kāng-iân,25,kāng-iân
仝輩,kāng-puè,25,kāng-pòe
代入,tāi-ji̍p,25,tāi-ji̍p
代數,tāi-sòo,25,tāi-sò͘
仰角,gióng-kak,25,gióng-kak
估算,kóo-sǹg,25,kó͘-sǹg
伴奏,phuānn-tsàu,25,phōaⁿ-chàu
佃戶,tiān-hōo,25,tiān-hō͘
佈田,pòo-tshân,25,pò͘-chhân
位值,uī-ta̍t,25,ūi-ta̍t
位數,uī-sòo,25,ūi-sò͘
低沉,kē-tîm,25,kē-tîm
低碳,kē-thuànn,25,kē-thòaⁿ
低笙,kē-sing,25,kē-seng
作家,tsok-ka,25,chok-ka
作曲,tsok-khik,25,chok-khek
作畫,tsok-uē,25,chok-ōe
作詞,tsok-sû,25,chok-sû
併步,pìng-pōo,25,pèng-pō͘
來洗,lâi-sé,25,lâi-sé
例字,lē-jī,25,lē-jī
侵蝕,tshim-si̍t,25,chhim-si̍t
俗名,sio̍k-miâ,25,sio̍k-miâ
俗語,sio̍k-gí,25,sio̍k-gí
保溫,pó-un,25,pó-un
保育,pó-io̍k,25,pó-io̍k
修辭,siu-sû,25,siu-sû
修飾,siu-sik,25,siu-sek
倉儲,tshng-tû,25,chhng-tû
個位,kò-uī,25,kò-ūi
個性,kò-sìng,25,kò-sèng
個數,kò-sòo,25,kò-sò͘
倍式,puē-sik,25,pōe-sek
倍數,puē-sòo,25,pōe-sò͘
倍率,puē-lu̍t,25,pōe-lu̍t
倒拋,tò-pha,25,tò-pha
倒敘,tò-sū,25,tò-sū
倒照,tò-tsiò,25,tò-chiò
倭寇,o-khòo,25,o-khò͘
倭番,ue-huan,25,oe-hoan
值班,ti̍t-pan,25,ti̍t-pan
偏折,phian-tsiat,25,phian-chiat
偏轉,phian-tsuán,25,phian-choán
做數,tsò-sòo,25,chò-sò͘
做文,tsò-bûn,25,chò-bûn
停頓,thîng-tùn,25,thêng-tùn
健美,kiān-bí,25,kiān-bí
側芽,tshik-gê,25,chhek-gê
側踢,tshik-that,25,chhek-that
偷渡,thau-tōo,25,thau-tō͘
偽造,guī-tsō,25,gūi-chō
備份,pī-hūn,25,pī-hūn
傳唱,thuân-tshiùnn,25,thoân-chhiùⁿ
傳導,thuân-tō,25,thoân-tō
傳染,thuân-jiám,25,thoân-jiám
傳球,thuân-kiû,25,thoân-kiû
傳真,thuân-tsin,25,thoân-chin
傳種,thn̂g-tsíng,25,thn̂g-chéng
傳粉,thuân-hún,25,thoân-hún
傳記,tuān-kì,25,toān-kì
傷口,siong-kháu,25,siong-kháu
傷風,siong-hong,25,siong-hong
儀器,gî-khì,25,gî-khì
億位,ik-uī,25,ek-ūi
優點,iu-tiám,25,iu-tiám
兆位,tiāu-uī,25,tiāu-ūi
先民,sian-bîn,25,sian-bîn
光圈,kng-khuan,25,kng-khoan
光學,kong-ha̍k,25,kong-ha̍k
光度,kng-tōo,25,kng-tō͘
光星,kng-tshenn,25,kng-chheⁿ
光束,kng-sok,25,kng-sok
光源,kng-guân,25,kng-goân
光碟,kong-tia̍p,25,kong-tia̍p
光能,kng-lîng,25,kng-lêng
入聲,ji̍p-siann,25,ji̍p-siaⁿ
內心,lāi-sim,25,lāi-sim
內海,lāi-hái,25,lāi-hái
內臟,lāi-tsōng,25,lāi-chōng
內角,lāi-kak,25,lāi-kak
內陸,lāi-lio̍k,25,lāi-lio̍k
全文,tsuân-bûn,25,choân-bûn
全音,tsuân-im,25,choân-im
兩拍,nn̄g-phik,25,nn̄g-phek
八音,pat-im,25,pat-im
公丈,kong-tn̄g,25,kong-tn̄g
公兩,kong-niú,25,kong-niú
公勺,kong-sia̍h,25,kong-sia̍h
公合,kong-kap,25,kong-kap
公告,kong-kò,25,kong-kò
公噸,kong-tùn,25,kong-tùn
公寸,kong-tshùn,25,kong-chhùn
公差,kong-tsha,25,kong-chha
公廳,kong-thiann,25,kong-thiaⁿ
公式,kong-sik,25,kong-sek
公引,kong-ín,25,kong-ín
公撮,kong-tshok,25,kong-chhok
公擔,kong-tànn,25,kong-tàⁿ
公斗,kong-táu,25,kong-táu
公毫,kong-hô,25,kong-hô
公畝,kong-bóo,25,kong-bó͘
公石,kong-tsio̍h,25,kong-chio̍h
公秉,kong-píng,25,kong-péng
公絲,kong-si,25,kong-si
公花,kang-hue,25,kang-hoe
公衡,kong-hîng,25,kong-hêng
公錢,kong-tsînn,25,kong-chîⁿ
公頃,kong-khíng,25,kong-khéng
六書,lio̍k-su,25,lio̍k-su
典故,tián-kòo,25,tián-kò͘
冊名,tsheh-miâ,25,chheh-miâ
冊櫥,tsheh-tû,25,chheh-tû
冒號,mōo-hō,25,mō͘-hō
冬季,tang-kuì,25,tang-kùi
冰晶,ping-tsing,25,peng-cheng
冰雕,ping-tiau,25,peng-tiau
冷鋒,líng-hong,25,léng-hong
凍塗,tòng-thôo,25,tòng-thô͘
刀板,to-pán,25,to-pán
刀痕,to-hûn,25,to-hûn
刀路,to-lōo,25,to-lō͘
刀鋩,to-mê,25,to-mê
分子,hun-tsú,25,hun-chú
分擔,hun-tam,25,hun-tam
分數,hun-sòo,25,hun-sò͘
分號,hun-hō,25,hun-hō
分解,hun-kái,25,hun-kái
分說,hun-suat,25,hun-soat
分貝,hun-puè,25,hun-pòe
分速,hun-sok,25,hun-sok
分針,hun-tsiam,25,hun-chiam
列式,lia̍t-sik,25,lia̍t-sek
刻度,khik-tōo,25,khek-tō͘
前後,tsîng-āu,25,chêng-āu
前蛹,tsiân-ióng,25,chiân-ióng
前踢,tsîng-that,25,chêng-that
前項,tsîng-hāng,25,chêng-hāng
剪紙,tsián-tsuá,25,chián-chóa
剪裁,tsián-tshâi,25,chián-chhâi
剪輯,tsián-tsi̍p,25,chián-chi̍p
割讓,kuah-niū,25,koah-niū
創作,tshòng-tsok,25,chhòng-chok
創意,tshòng-ì,25,chhòng-ì
剾仔,khau-á,25,khau-á
剾刀,khau-to,25,khau-to
功夫,kang-hu,25,kang-hu
加侖,ka-lûn,25,ka-lûn
加成,ka-siânn,25,ka-siâⁿ
加數,ka-sòo,25,ka-sò͘
加法,ka-huat,25,ka-hoat
加減,ka-kiám,25,ka-kiám
加號,ka-hō,25,ka-hō
劣弧,lua̍t-hôo,25,loa̍t-hô͘
助燃,tsōo-jiân,25,chō͘-jiân
助詞,tsōo-sû,25,chō͘-sû
動態,tōng-thài,25,tōng-thài
動畫,tōng-uē,25,tōng-ōe
勞力,lóo-la̍t,25,ló͘-la̍t
勞力,lô-li̍k,25,lô-le̍k
募款,bōo-khuán,25,bō͘-khoán
勾拳,kau-kûn,25,kau-kûn
包皮,pau-phuê,25,pau-phôe
北帶,pak-tài,25,pak-tài
北管,pak-kuán,25,pak-koán
匯款,huē-khuán,25,hōe-khoán
匯率,huē-lu̍t,25,hōe-lu̍t
十位,tsa̍p-uī,25,cha̍p-ūi
千位,tshing-uī,25,chheng-ūi
升冪,sing-bi̍k,25,seng-be̍k
半徑,puànn-kìng,25,pòaⁿ-kèng
半音,puànn-im,25,pòaⁿ-im
協商,hia̍p-siong,25,hia̍p-siong
南拳,lâm-kûn,25,lâm-kûn
南海,lâm-hái,25,lâm-hái
南胡,lâm-ôo,25,lâm-ô͘
南韓,lâm-hân,25,lâm-hân
卵子,luán-tsú,25,loán-chú
卵巢,nn̄g-tsâu,25,nn̄g-châu
卵生,luán-sing,25,loán-seng
厘米,lî-bí,25,lî-bí
厚度,kāu-tōo,25,kāu-tō͘
厚薄,kāu-po̍h,25,kāu-po̍h
原價,guân-kè,25,goân-kè
原句,guân-kù,25,goân-kù
原著,guân-tù,25,goân-tù
原點,guân-tiám,25,goân-tiám
去聲,khì-siann,25,khì-siaⁿ
反比,huán-pí,25,hoán-pí
反白,huán-pe̍h,25,hoán-pe̍h
取景,tshú-kíng,25,chhú-kéng
受力,siū-li̍k,25,siū-le̍k
受熱,siū-jia̍t,25,siū-jia̍t
口琴,kháu-khîm,25,kháu-khîm
古文,kóo-bûn,25,kó͘-bûn
古箏,kóo-tsing,25,kó͘-cheng
古詩,kóo-si,25,kó͘-si
句型,kù-hîng,25,kù-hêng
句尾,kù-bué,25,kù-bóe
句式,kù-sik,25,kù-sek
叨撚,lo-lián,25,lo-lián
叨食,lo-tsia̍h,25,lo-chia̍h
叫聲,kiò-siann,25,kiò-siaⁿ
召鏡,tiàu-kiànn,25,tiàu-kiàⁿ
司儀,su-gî,25,su-gî
合唱,ha̍p-tshiùnn,25,ha̍p-chhiùⁿ
合奏,ha̍p-tsàu,25,ha̍p-chàu
合成,ha̍p-sîng,25,ha̍p-sêng
合數,ha̍p-sòo,25,ha̍p-sò͘
合球,ha̍p-kiû,25,ha̍p-kiû
合金,ha̍p-kim,25,ha̍p-kim
吊杯,tiàu-pue,25,tiàu-poe
吊槔,tiàu-oo,25,tiàu-o͘
吊車,tiàu-tshia,25,tiàu-chhia
名字,miâ-jī,25,miâ-jī
名產,bîng-sán,25,bêng-sán
名言,bîng-giân,25,bêng-giân
吳沙,ngôo-sua,25,ngô͘-soa
吸力,khip-li̍k,25,khip-le̍k
吹奏,tshue-tsàu,25,chhoe-chàu
周界,tsiu-kài,25,chiu-kài
周角,tsiu-kak,25,chiu-kak
周長,tsiu-tn̂g,25,chiu-tn̂g
味覺,bī-kak,25,bī-kak
命令,bīng-līng,25,bēng-lēng
和弦,hô-hiân,25,hô-hiân
和齊,hô-tsê,25,hô-chê
唐詩,tông-si,25,tông-si
售價,siū-kè,25,siū-kè
唱名,tshiùnn-miâ,25,chhiùⁿ-miâ
唱奏,tshiùnn-tsàu,25,chhiùⁿ-chàu
唱片,tshiùnn-phìnn,25,chhiùⁿ-phìⁿ
唸唱,liām-tshiùnn,25,liām-chhiùⁿ
唸謠,liām-iâu,25,liām-iâu
商店,siong-tiàm,25,siong-tiàm
商港,siong-káng,25,siong-káng
啟示,khé-sī,25,khé-sī
喇叭,lá-pah,25,lá-pah
喙空,tshuì-khang,25,chhùi-khang
喙罨,tshuì-am,25,chhùi-am
喪葬,song-tsòng,25,song-chòng
單位,tan-uī,25,tan-ūi
單價,tan-kè,25,tan-kè
單數,tan-sòo,25,tan-sò͘
單槓,tan-kǹg,25,tan-kǹg
噪音,tshò-im,25,chhò-im
四拍,sù-phik,25,sù-phek
四書,sù-su,25,sù-su
四極,sù-ki̍k,25,sù-ke̍k
四肢,sù-ki,25,sù-ki
囝孫,kiánn-sun,25,kiáⁿ-sun
因數,in-sòo,25,in-sò͘
固態,kòo-thài,25,kò͘-thài
國文,kok-bûn,25,kok-bûn
國樂,kok-ga̍k,25,kok-ga̍k
國道,kok-tō,25,kok-tō
圍剿,uî-tsâu,25,ûi-châu
圓周,înn-tsiu,25,îⁿ-chiu
圓尺,înn-tshioh,25,îⁿ-chhioh
圓弧,înn-hôo,25,îⁿ-hô͘
圓形,înn-hîng,25,îⁿ-hêng
圓柱,înn-thiāu,25,îⁿ-thiāu
圓規,înn-kui,25,îⁿ-kui
圓錐,înn-tsui,25,îⁿ-chui
圖例,tôo-lē,25,tô͘-lē
圖形,tôo-hîng,25,tô͘-hêng
圖示,tôo-sī,25,tô͘-sī
圖表,tôo-pió,25,tô͘-pió
圖鑑,tôo-kàm,25,tô͘-kàm
土名,thóo-miâ,25,thó͘-miâ
土產,thóo-sán,25,thó͘-sán
圭表,kui-pió,25,kui-pió
地勢,tē-sè,25,tē-sè
地形,tē-hîng,25,tē-hêng
地球,tē-kiû,25,tē-kiû
地磁,tē-tsû,25,tē-chû
地表,tē-piáu,25,tē-piáu
地質,tē-tsit,25,tē-chit
均衡,kin-hîng,25,kin-hêng
坑谷,khenn-kok,25,kheⁿ-kok
坡度,pho-tōo,25,pho-tō͘
埤仔,pi-á,25,pi-á
基隆,ke-lâng,25,ke-lâng
堅冰,kian-ping,25,kian-peng
堆肥,tui-puî,25,tui-pûi
報酬,pò-siû,25,pò-siû
塊根,khuài-kin,25,khoài-kin
塗壤,thôo-jióng,25,thô͘-jióng
塗條,thôo-tiâu,25,thô͘-tiâu
塗球,thôo-kiû,25,thô͘-kiû
墨色,ba̍k-sik,25,ba̍k-sek
夏季,hā-kuì,25,hā-kùi
外人,guā-lâng,25,gōa-lâng
外形,guā-hîng,25,gōa-hêng
外心,guā-sim,25,gōa-sim
外戚,guā-tshik,25,gōa-chhek
外銷,guā-siau,25,gōa-siau
大員,tāi-uân,25,tāi-oân
大地,tāi-tē,25,tāi-tē
大寒,tāi-hân,25,tāi-hân
大數,tuā-sòo,25,tōa-sò͘
大於,tuā-î,25,tōa-î
大氣,tāi-khì,25,tāi-khì
大箍,tuā-khoo,25,tōa-kho͘
大篆,tuā-thuàn,25,tōa-thoàn
大腸,tuā-tn̂g,25,tōa-tn̂g
大調,tuā-tiāu,25,tōa-tiāu
大鑼,tuā-lô,25,tōa-lô
大雪,tāi-suat,25,tāi-soat
大麻,tuā-muâ,25,tōa-môa
天敵,thian-ti̍k,25,thian-te̍k
天災,thian-tsai,25,thian-chai
太陽,thài-iông,25,thài-iông
奇數,khia-sòo,25,khia-sò͘
奈米,nāi-bí,25,nāi-bí
奧運,ò-ūn,25,ò-ūn
好聽,hó-thiann,25,hó-thiaⁿ
妝娗,tsng-thānn,25,chng-thāⁿ
始邊,sí-pinn,25,sí-piⁿ
姓名,sènn-miâ,25,sèⁿ-miâ
子房,tsú-pâng,25,chú-pâng
子數,tsú-sòo,25,chú-sò͘
子葉,tsú-hio̍h,25,chú-hio̍h
字例,jī-lē,25,jī-lē
字劃,jī-ue̍h,25,jī-oe̍h
字帖,jī-thiap,25,jī-thiap
字爿,jī-pîng,25,jī-pêng
字硩,jī-teh,25,jī-teh
字詞,jī-sû,25,jī-sû
字部,jī-pōo,25,jī-pō͘
字音,jī-im,25,jī-im
孝道,hàu-tō,25,hàu-tō
孢子,pau-tsí,25,pau-chí
季風,kuì-hong,25,kùi-hong
學唱,o̍h-tshiùnn,25,o̍h-chhiùⁿ
學期,ha̍k-kî,25,ha̍k-kî
守備,siú-pī,25,siú-pī
宋詞,sòng-sû,25,sòng-sû
宗祠,tsong-sû,25,chong-sû
定做,tiānn-tsò,25,tiāⁿ-chò
定價,tīng-kè,25,tēng-kè
定星,tīng-tshenn,25,tēng-chheⁿ
客運,kheh-ūn,25,kheh-ūn
宣紙,suan-tsuá,25,soan-chóa
宣言,suan-giân,25,soan-giân
宴席,iân-sia̍h,25,iân-sia̍h
家訓,ka-hùn,25,ka-hùn
家鄉,ka-hiong,25,ka-hiong
容器,iông-khì,25,iông-khì
容積,iông-tsik,25,iông-chek
寄託,kià-thok,25,kià-thok
密碼,bi̍t-bé,25,bi̍t-bé
密集,bi̍t-tsi̍p,25,bi̍t-chi̍p
寒假,hân-ká,25,hân-ká
寒冬,kuânn-tang,25,kôaⁿ-tang
寒帶,hân-tài,25,hân-tài
寒露,hân-lōo,25,hân-lō͘
實木,si̍t-bo̍k,25,si̍t-bo̍k
實驗,si̍t-giām,25,si̍t-giām
審題,sím-tê,25,sím-tê
寫作,siá-tsok,25,siá-chok
寫景,siá-kíng,25,siá-kéng
射筒,siā-tâng,25,siā-tâng
射箭,siā-tsìnn,25,siā-chìⁿ
射線,siā-suànn,25,siā-sòaⁿ
射門,siā-mn̂g,25,siā-mn̂g
對分,tuì-pun,25,tùi-pun
對句,tuì-kù,25,tùi-kù
對比,tuì-pí,25,tùi-pí
對流,tuì-liû,25,tùi-liû
對焦,tuì-tsiau,25,tùi-chiau
對生,tuì-sing,25,tùi-seng
對白,tuì-pe̍h,25,tùi-pe̍h
對邊,tuì-pinn,25,tùi-piⁿ
導線,tō-suànn,25,tō-sòaⁿ
導言,tō-giân,25,tō-giân
導讀,tō-tho̍k,25,tō-tho̍k
導體,tō-thé,25,tō-thé
小吹,sió-tshue,25,sió-chhoe
小寒,siáu-hân,25,siáu-hân
小於,sió-î,25,sió-î
小時,sió-sî,25,sió-sî
小月,sió-gue̍h,25,sió-goe̍h
小節,sió-tsiat,25,sió-chiat
小篆,sió-thuàn,25,sió-thoàn
小鑼,sió-lô,25,sió-lô
小雪,siáu-suat,25,siáu-soat
尖角,tsiam-kak,25,chiam-kak
尪仔,ang-á,25,ang-á
尪姨,ang-î,25,ang-î
就業,tsiū-gia̍p,25,chiū-gia̍p
尾局,bué-kio̍k,25,bóe-kio̍k
尾溜,bué-liu,25,bóe-liu
尾羽,bué-ú,25,bóe-ú
尾翼,bué-si̍t,25,bóe-si̍t
尾聲,bué-siann,25,bóe-siaⁿ
尾針,bué-tsiam,25,bóe-chiam
尾鰭,bué-kî,25,bóe-kî
尿道,jiō-tō,25,jiō-tō
屈尺,khut-tshioh,25,khut-chhioh
展演,tián-ián,25,tián-ián
屬名,sio̍k-miâ,25,sio̍k-miâ
山川,san-tshuan,25,san-chhoan
山球,suann-kiû,25,soaⁿ-kiû
山羊,suann-iûnn,25,soaⁿ-iûⁿ
岬灣,kap-uan,25,kap-oan
崎坡,kiā-pho,25,kiā-pho
崎度,kiā-tōo,25,kiā-tō͘
崑曲,khun-khik,25,khun-khek
工蜂,kang-phang,25,kang-phang
工蟻,kang-hiā,25,kang-hiā
差異,tsha-ī,25,chha-ī
布景,pòo-kíng,25,pò͘-kéng
師傅,sai-hū,25,sai-hū
平刀,pênn-to,25,pêⁿ-to
平分,pênn-pun,25,pêⁿ-pun
平原,pîng-guân,25,pêng-goân
平地,pênn-tē,25,pêⁿ-tē
平聲,piânn-siann,25,piâⁿ-siaⁿ
平行,pîng-hîng,25,pêng-hêng
平角,pênn-kak,25,pêⁿ-kak
平長,pênn-tn̂g,25,pêⁿ-tn̂g
平闊,pênn-khuah,25,pêⁿ-khoah
平面,pênn-bīn,25,pêⁿ-bīn
幹部,kàn-pōo,25,kàn-pō͘
幼瓷,iù-huî,25,iù-hûi
幼蟲,iù-thâng,25,iù-thâng
幼鹽,iù-iâm,25,iù-iâm
序奏,sū-tsàu,25,sū-chàu
序數,sū-sòo,25,sū-sò͘
底盤,té-puânn,25,té-pôaⁿ
底角,té-kak,25,té-kak
底邊,té-pinn,25,té-piⁿ
底面,té-bīn,25,té-bīn
店頭,tiàm-thâu,25,tiàm-thâu
度針,tōo-tsiam,25,tō͘-chiam
廟寺,biō-sī,25,biō-sī
廟會,biō-huē,25,biō-hōe
延延,iân-tshiân,25,iân-chhiân
弄獅,lāng-sai,25,lāng-sai
弄花,lāng-hue,25,lāng-hoe
弄龍,lāng-lîng,25,lāng-lêng
弓仔,king-á,25,keng-á
弓形,king-hîng,25,keng-hêng
引號,ín-hō,25,ín-hō
引電,ín-tiān,25,ín-tiān
弦樂,hiân-ga̍k,25,hiân-ga̍k
弧線,hôo-suànn,25,hô͘-sòaⁿ
弧長,hôo-tn̂g,25,hô͘-tn̂g
強拍,kiông-phik,25,kiông-phek
強酸,kiông-sng,25,kiông-sng
