序號,學科術語,參考解釋,第1階段,第2階段,第3階段,第4階段,第5階段,臺灣台語詞彙,臺羅
100012,LED照明,由發光二極管（LED）提供的光線，明亮度。,,,社會-社會,,,LED照明,LED tsiò-bîng
100013,N極,磁極的判定是以細線懸掛一磁鐵，指向北方的磁極稱為指北極或N極。,,自然科學-自然科學,,自然科學-理化,,N極 指北極,N-ki̍k tsí-pak-ki̍k
100014,PM2.5,直徑小於或等於2.5微米的懸浮微粒稱為細懸浮微粒（PM2.5），例如室內的二手菸霧。PM2.5細小顆粒，比病毒大，比細菌小，容易帶有毒物質進入人體。,,,自然科學-自然科學,自然科學-理化,,PM2.5,PM jī tiám gōo
100015,S極,磁極的判定是以細線懸掛一磁鐵，指向南方的磁極稱為指南極或S極。,,自然科學-自然科學,,自然科學-理化,,S極 指南極,S-ki̍k tsí-lâm-ki̍k
100016,一年級,國民基礎教育小學階段第一學年度，即為一年級。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,,綜合活動-綜合活動,,,一年級 一年仔 一年的,it-nî-kip it-nî-á it-nî--ê
100017,一位小數,小數點後有一位的數字。,數學-數學,,,數學-數學,,一位小數,tsi̍t uī sió-sòo
100018,一位數,一個自然數數位的個數叫做位數，例如9，只含一個數位，因此9是一位數。,數學-數學,,,,,一位數,tsi̍t uī sòo
100019,一府二鹿三艋舺,用以描述清領時期，臺灣三大港口型城市：府城、鹿港以及艋舺由南至北的開發次序。,,,社會-社會,社會-歷史,社會-歷史 社會-地理,一府二鹿三艋舺,it Hú jī Lo̍k sann Báng-kah
100020,一街一庄一神社,興建神社是日治時期總督府治臺的重要宗教政策。藉由各地的神社，日本 人可以達到教化臺灣人，使臺灣人「皇民化」為大日本帝國臣民的目的。臺灣各地的神社就是在此一宗教政策的前提之下，陸陸續續興建的。為了推廣日本總督府種種的教化運動，日本人甚至提出了「國有神社，家有神棚」的口號， 企圖在臺灣全島推行「神社中心說」的「一街庄一神社」的神社興建計畫。,,,社會-社會,,社會-歷史,一街一庄一神社,tsi̍t ke tsi̍t tsng tsi̍t sîn-siā
100021,七律,一種詩體。七言律詩的簡稱。每首八句，每句七字，三、四句及五、六句對仗，平仄有一定格式。,,,語文-國語文,語文-國語文,語文-國語文,七律,tshit-lu̍t
100022,九龍公道杯,是一種利用虹吸現象製作而成的杯子。用九龍公道杯飲酒之時，只要不斟滿，則與常杯無異。若斟得太滿，則酒會從底孔完全流光。,,自然科學-自然科學,,自然科學-理化,,九龍公道杯,kiú-liông kong-tō-pue
100023,九龍杯,九龍杯亦名「公道杯」或「戒貪杯」，歐洲同類發明稱為「畢達哥拉斯杯」，為一種杯，西方世界稱由畢達哥拉斯發明，中國傳說由明朝工匠所製作。九龍杯利用虹吸原理運作。,,自然科學-自然科學,,自然科學-理化,,九龍杯,kiú-liông-pue
100024,二二八事件,臺灣近代史上影響深遠的歷史事件。起因於民國36年2月27日的一件圓環緝煙意外事件，而引發全島抗爭行動。這本只是要求懲凶的治安事件，未料卻變質為要求臺政改革的政治訴求，並致使朝野間呈現緊張關係，造成了以軍力強勢鎮壓的悲劇，留下了長期的社會傷痕。,,,社會-社會,社會-歷史,社會-歷史,二二八事件,Jī-jī-pat Sū-kiānn
100025,二二拍,每小節有兩拍，以二分音符為一拍，念作二二拍。,,,藝術-藝術,,,二二拍,jī-jī-phik
100026,二十四節氣,為古代曆法根據太陽在黃道上的位置所劃分。指一年中立春、雨水、驚蟄、春分、清明、穀雨、立夏、小滿、芒種、夏至、小暑、大暑、立秋、處暑、白露、秋分、寒露、霜降、立冬、小雪、大雪、冬至、小寒、大寒等二十四個節氣。對農耕步驟有重要的提示作用。,,自然科學-自然科學,自然科學-自然科學,自然科學-地球科學,,二十四節氣,jī-tsa̍p sì-tseh-khuì
100027,二分法,分類法中，以事物屬性有無或兩種相反之屬性為標準，分為二類。再將已分者，更就他屬性之有無或另兩種相反屬性又二分之，逐層遞進，稱為「二分法」。,,,自然科學-自然科學,自然科學-理化,,二分法,jī-hun-huat
100028,二分音符,在音樂記譜中，二分音符是一種音符時值。在五線譜記法中，二分音符表示為一個空心的橢圓符頭加上一個不帶符尾的符桿。,,藝術-藝術,,藝術-音樂,藝術-音樂,二分音符,jī-hun im-hû
100029,二四拍,每小節有兩拍，以四分音符為一拍，念作二四拍。,,藝術-藝術,,藝術-音樂,,二四拍,jī-sù-phik
100030,二位小數,小數點後有兩位的數字。,數學-數學,,,,,兩位小數,nn̄g uī sió-sòo
100031,二位數,兩個位數的數值，最小為10，最大為99。,數學-數學,,,數學-數學,,二位數,jī uī sòo
100032,二位數減法,從兩位數減去兩位數或一位數，為計算兩數之差的方法。,數學-數學,,,,,二位數減法,jī uī sòo kiám-huat
100033,人力運輸,以人力肩挑、背負、及使用人力車載運人員與貨物的運輸方式。,,社會-社會,,,,人力運輸,jîn-li̍k ūn-su
100034,人口,一定時間內一地區具有戶籍身分的全部居民。,,社會-社會,社會-社會,社會-地理,社會-地理,人口,jîn-kháu
100035,人口政策,一種國家政策，主要是為了國家整體發展與資源分配，對人口的總量、組成、分布、遷徙等現況與趨勢，進行全面資料調查，據以研擬之相關政策。,,社會-社會,社會-社會,,社會-地理,人口政策,jîn-kháu tsìng-tshik
100036,人口密度,在一定區域內，每一平方公里的人口平均數。,,社會-社會,社會-社會,社會-地理,社會-地理,人口密度,jîn-kháu bi̍t-tōo
100037,人口普查,將某一特定區域內，某一時期人口靜態資料，加以查記、編訂、校正及分類，稱為「人口普查」。也稱為「人口統計」。,,社會-社會,社會-社會,社會-歷史,社會-歷史,人口普查,jîn-kháu phóo-tsa
100038,人口調查,蒐集、統計、分析人口數量的行為。,,社會-社會,,,,人口調查,jîn-kháu tiâu-tsa
100039,人工生殖技術,把精子，卵子或胚胎在體外處理以治療不孕症的技術，常用的有人工受精、試管嬰兒、禮物嬰兒、顯微受精。,,,社會-社會,,,人工生湠技術,jîn-kang senn-thuànn ki-su̍t
100040,人文,泛指人類社會的藝術、宗教、道德等文化現象。,,社會-社會,社會-社會,社會-地理,社會-地理,人文,jîn-bûn
100041,人物,1.人。 2.人和物。,語文-國語文,語文-國語文,語文-國語文,語文-國語文,語文-國語文,人物,jîn-bu̍t
100042,人物角色,人在團體中，依其地位所擔負的責任或所表現的行為。,,,藝術-藝術,,,人物角色,jîn-bu̍t kak-sik
100043,人造彩虹,將噴水器正對太陽噴水，並調成噴霧狀態，中午的太陽在正南方上空，找到一片大陰影，建築物，或者比較陰暗的樹蔭，這時面向東方拿著噴水器超東南方向的空中噴水，水霧從空中落下就可以把陽光的顏色折射出來了，也就看到彩虹了。,,自然科學-自然科學,,自然科學-地球科學,,人造虹,jîn-tsō khīng
100044,人稱,實體詞依談話時的立場而分為三種人稱。談話者為第一人稱，相對於談話者為第二人稱而言，談話中所涉及之第三者為第三人稱。,,語文-國語文,語文-國語文,語文-國語文,,人稱,jîn-tshing
100045,人際關係,社會裡人與人之間的關係。即自我對他人的看法、想法、說法及彼此對待的態度和影響等。,,,社會-社會 健康與體育-健康與體育,社會-公民與社會 健康與體育-健康教育,,人際關係,jîn-tsè kuan-hē
100046,人聲,人所發的聲音。,,藝術-藝術,,藝術-音樂,藝術-音樂,人聲,lâng-siann
100047,人權,1.人與生俱來就有的權利，也稱「天賦人權」。 2.人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等權利。,,,社會-社會,社會-歷史 社會-公民與社會,社會-歷史 社會-公民與社會,人權,jîn-khuân jîn-kuân
100048,八分音符（♪）,音樂名詞。在五線譜上用以標注樂音長短及高低的一種符號。為英語Eighth note的意譯。相當於全音符的八分之一，符號為♪。,,藝術-藝術,,藝術-音樂,藝術-音樂,八分音符,peh-hun im-hû
100049,八音,由金、石、絲、竹、匏、土、革、木八種材質製成的樂器。金包括鐘等，石包括磬等，土包括壎等，革包括鼓等，絲包括琴、瑟等，木包括柷、敔等，匏包括簧、笙等，竹包括簫、笛等。,,藝術-藝術,,,,八音,pat-im
100050,八音團,以八音演湊為主的樂團。,,藝術-藝術,,,,八音團,pat-im-thuân
100051,八部合音,祈禱小米豐收歌是一首臺灣原住民布農族傳統祭典音樂，常被人稱為八部合音，布農族人則稱「Pasibutbut」，僅流傳於布農族巒社群和郡社群當中。雖然名為八部，實際人數並非限於8人，可增加至12人，以人聲方式發出韻母聲進行和聲。,,,社會-社會,,,八部合音,peh-pōo ha̍p-im
100052,八堡圳,位於臺灣的彰化縣，最早建於西元1709年，於西元1719年完工，是臺灣最古老的埤圳之一。由於該圳是由施世榜籌款所建，故原名「施厝圳」，又因取濁水溪之水灌溉八堡農田，所以也叫做「濁水圳」。一般將八堡圳與嘉義道將圳和新竹隆恩圳，一起並稱為「臺灣三大古老埤圳」。,,,社會-社會,社會-歷史,,八堡圳,Pat-pó-tsùn
100053,力,改變物體運動狀態（靜止或運行速度）的效能稱為「力」，計算單位為「牛頓」。如：「動力」、「向心力」。,,自然科學-自然科學,,自然科學-理化,,力,la̍t li̍k
100054,力量,力氣。,,自然科學-自然科學,,自然科學-理化,,力量,li̍k-liōng
100055,十三行文化,位於新北市淡水河口南岸，觀音山前緣之河口平原上的古蹟遺址。原為臺灣原住民平埔族祖先凱達噶蘭族，在一千五百至二千年前的活動空間。因該處舊有清代十三洋行設立的行口，故稱為「十三行遺址」。歷經考古學家的挖掘與研究，證明當時已將鐵器應用到日常生活中。其中，「煉鐵作坊」的出土，為現存臺灣史前先民冶鐵技術的唯一證據。,,,社會-社會,社會-歷史,,十三行文化,Tsa̍p-sann-hâng bûn-huà
100056,十三行遺址,位於新北市淡水河口南岸，觀音山前緣之河口平原上的古蹟遺址。原為臺灣原住民平埔族祖先凱達噶蘭族，在一千五百至二千年前的活動空間。因該處舊有清代十三洋行設立的行口，故稱為「十三行遺址」。民國46年，始由臺灣大學林朝棨教授發現。歷經考古學家的挖掘與研究，證明當時已將鐵器應用到日常生活中。其中，「煉鐵作坊」的出土，為現存臺灣史前先民冶鐵技術的唯一證據。,,,社會-社會,社會-歷史,社會-歷史,十三行遺址,Tsa̍p-sann-hâng uî-tsí
100057,十大建設,我國60年代從事的十大經濟建設工程。包括中正國際機場、西部鐵路電氣化、臺中國際港、南北高速公路、高雄大造船廠、一貫作業煉鋼廠、南部石油化學工業區、北迴鐵路、擴建蘇澳港、核能發電廠。,,,社會-社會,社會-歷史,社會-歷史,十大建設,tsa̍p tuā kiàn-siat
100058,十分位,小數部分從小數點算起，右邊第一位叫做十分位，也可叫做小數第一位。,,數學-數學,,數學-數學,,十分位,tsa̍p-hun-uī
100059,十位,定位板上，記幾個十的位置。,數學-數學,,,數學-數學,,十位,tsa̍p-uī
100060,十位數字,十進記數法的基本位，在此位的數稱為「十位數」。,數學-數學,,,數學-數學,,十位數字,tsa̍p uī sòo-jī
100061,十進,數學上指以1－9為基數，逢十進一，每一相鄰的位數相差十倍的算數方法。,,數學-數學,,,,十進,tsa̍p-tsìn si̍p-tsìn
100062,十進位法,是指用不多於10個號碼，代表一切數值，不論多大，以進1位表示10倍，進二位代表100倍，依此類推的十進制數字系統。,,數學-數學,,,,十進位法,tsa̍p-tsìn-uī-huat si̍p-tsìn-uī-huat
100063,十萬分位,小數部分從小數點算起，右邊第五位叫做十萬分位，也可叫做小數第五位。,數學-數學,,,,,十萬分位,tsa̍p-bān-hun-uī
100064,十萬位,記錄幾個十萬的位置。,,數學-數學,,,,十萬位,tsa̍p-bān-uī
100065,十億位,記錄幾個十億的位置。,,數學-數學,數學-數學,,,十億位,tsa̍p-ik-uī
100066,三八拍,每小節有三拍，以八分音符為一拍，唸作三八拍。,,藝術-藝術,,,,三八拍,sam-pat-phik
100067,三四拍,每小節有三拍，以四分音符為一拍，念作三四拍。,,藝術-藝術,藝術-藝術,藝術-音樂,,三四拍,sam-sù-phik
100068,三合院,一種傳統建築。以三面為房屋，中間作院子而形成的ㄇ形或Ｈ形房子。也稱為「三合房」。,,社會-社會,,,,三合院 正身護龍,sann-ha̍p-īnn tsiànn-sin-hōo-lîng
100069,三年級,國民基礎教育小學階段第三學年度，即為三年級。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,社會-社會 綜合活動-綜合活動,綜合活動-綜合活動,,,三年級 三年仔 三年的,sann-nî-kip sann-nî-á sann-nî--ê
100070,三位數,一個自然數數位的個數叫做位數，例如：365，含三個數位，因此365是三位數。,數學-數學,,,數學-數學,,三位數,sann uī sòo
100071,三角形,三線段在平面上圍成的圖形，有三邊三角。也稱為「平面三角形」。,數學-數學,,,數學-數學,數學-數學,三角形,sann-kak-hîng
100072,三角柱,以三角形為底的柱體。上下底平行相等，旁有三稜，側面為三面。,,,數學-數學,數學-數學,,三角柱,sann-kak-thiāu
100073,三拍子,以三拍做為一小節，即為三拍子。,,藝術-藝術,,藝術-音樂,藝術-音樂,三拍,sann-phik
100074,三貂角,位於臺灣最東境的岬角，即今新北市貢寮區福連里與宜蘭縣頭城鎮石城里之間的海岬。海岸遍布岩石。,,,社會-社會,社會-地理,社會-地理,三貂角,Sam-tiau-kak
100075,三稜鏡,用玻璃或透光材料製成，截面呈三角形的光學儀器。能使光線折射，或使複合光分解光譜。常用來觀測天體現象。,,自然科學-自然科學,,,,三稜鏡,sann-lîng-kiànn
100076,三聲部合唱,一種合唱方式。分高聲部、中聲部和低聲部，其中一個是主旋律，另外兩個是副旋律，起到襯托和輔助的作用。,,藝術-藝術,,,,三聲部合唱,sann-siann-pōo ha̍p-tshiùnn
100077,上下文,文章的上句和下句。,,語文-國語文,語文-國語文,語文-國語文,,上下文 頂下文,siōng-hā-bûn tíng-ē-bûn
100078,上下平分,國字的結構之一。指由上下兩個部件組合而成，而上方、下方部件平分的字。例如李。,語文-國語文,,,,,上下平分 上下對分,siōng-hā pîng-hun siōng-hā tuì-pun
100079,上底,在梯形中，有兩條互相平行的邊，位置在上者為上底。,,,數學-數學,數學-數學,,頂底,tíng-té
100080,上弦月,月相的其中一個階段。指月亮上半夜出來，在偏西面出來，月面朝西的狀態。,,自然科學-自然科學,,自然科學-地球科學,自然科學-地球科學,頂弦月,tíng-hiân-gue̍h
100081,上長下短,國字的結構之一。指由上下兩個部件組合而成，而上方部件較長，下方部件較短的字。例如您。,語文-國語文,,,,,上長下短,siōng tn̂g hā té
100082,上架,先握拳站立做出抱拳動作，應先吸氣做好抱拳動作，以表現出武術的精神。,,,健康與體育-健康與體育,,,請拳,tshiánn-kûn
100083,上游,河流的發源地及其鄰近的區域。,,自然科學-自然科學,,,,上游 水頭 溪頭,siōng-iû tsuí-thâu khe-thâu
100084,上短下長,國字的結構之一。指由上下兩個部件組合而成，而上方部件較短，下方部件較長的字。例如草。,語文-國語文,,,,,上短下長,siōng té hā tn̂g
100085,上課,老師到教室授課或學生到教室學習課業。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,社會-社會,綜合活動-綜合活動,,,上課,siōng-khò
100086,上學,到校上課或入學念書。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程 健康與體育-健康與體育,社會-社會,綜合活動-綜合活動,,,讀冊 上課 上學,tha̍k-tsheh siōng-khò tsiūnn-ha̍k tsiūnn-o̍h
100087,上籃,上籃或稱走籃或挑籃是籃球中的一種動作，指進攻到籃下的位置跳起，把籃球升起接近籃筐再以單手將球放進去或擦板投進。上籃是一項基本的籃球技術，是一種高命中率的得分動作，其主要的妨礙為站於籃底的防守者和過於接近邊界。,,,健康與體育-健康與體育,健康與體育-體育,,上籃,tsiūnn-nâ
100088,下底,在梯形中，有兩條互相平行的邊，位置在下者為下底。,,,數學-數學,數學-數學,,下底,ē-té
100089,下弦月,月相的其中一個階段。在農曆每月22、23日，因為只能看到月亮東邊的半圓，所以稱下弦 。,,自然科學-自然科學,,自然科學-地球科學,自然科學-地球科學,下弦月,hā-hiân-gue̍h
100090,下游,江河水流靠近出海口的地方。亦指下游附近的地區。,,,自然科學-自然科學,,,水尾 溪尾 下游,tsuí-bué khe-bué hā-iû
100091,下課,教學活動結束。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程 健康與體育-健康與體育,社會-社會 綜合活動-綜合活動 健康與體育-健康與體育,綜合活動-綜合活動,,,下課,hā-khò
100092,千分位,小數部分從小數點算起，右邊第三位叫做百分位，也可叫做小數第三位。,數學-數學,,,數學-數學,,千分位,tshian-hun-uī
100093,千位,整數的數位之一。記錄幾個千的位置。,,數學-數學,,數學-數學,,千位,tshing-uī
100094,千萬位,整數的數位之一。記錄幾個千萬的位置。,,數學-數學,,,數學-數學,千萬位,tshing-bān-uī
100095,千億位,記錄幾個千億的位置。,,數學-數學,,,,千億位,tshing-ik-uī
100096,口腔,消化道最前端的空腔。由兩脣、兩頰、硬腭、軟腭等構成。內含有齒、舌、唾液腺。,健康與體育-健康與體育,健康與體育-健康與體育,健康與體育-健康與體育,健康與體育-健康教育,,喙空,tshuì-khang
100097,口腔癌,病名。發生於口腔部位的惡性腫瘤。,,健康與體育-健康與體育,健康與體育-健康與體育,健康與體育-健康教育,,喙空癌,tshuì-khang-gâm
100098,土地利用,人類對土地耕種或建設等，並期望從土地得到收益。,,社會-社會,社會-社會,社會-地理,社會-地理,土地運用,thóo-tē ūn-iōng
100099,土地改革,改善土地所有主與土地使用者的關係、土地利用的條件及土地種種制度的措施。縮稱為「土改」。,,,社會-社會,社會-歷史,社會-歷史,土地改革,thóo-tē kái-kik
100100,土地開發,土地開發是指單位或個人通過採取各種措施，將未利用土地改造成農用地或其他用地的活動。,,社會-社會,社會-社會,,社會-歷史,土地開發,thóo-tē khai-huat
100101,土風舞,一種民間自然表露情感所形成的舞蹈。開始於歐洲中世紀時。有其特有的風土習俗與民族性格，舞步簡單，適合男女老少。,,健康與體育-健康與體育,,,,土風舞,thóo-hong-bú
100102,土條,將陶土經搓揉後，所製成的條狀。,,藝術-藝術,,,,塗條,thôo-tiâu
100103,土球,將陶土經搓揉後，所製成的球狀。,,藝術-藝術,,,,塗球,thôo-kiû
100104,土壤,覆蓋在地殼最外圍的一層土質，由土粒與腐植質混合而成。其中含有水分、空氣、礦物質和微生物，可供植物生長與動物棲息。,,,自然科學-自然科學,自然科學-地球科學,,塗壤 塗肉,thôo-jióng thôo-bah
100105,大,表示體積、面積、容量、數量、年齡等廣、多。與「小」相對。,數學-數學,,數學-數學,,,大,tuā
100106,大地,整個地面。,,,自然科學-自然科學,自然科學-地球科學,,大地,tāi-tē
100107,大地景觀,大地景觀是指一個地理區域內的地形和地面上所有自然景物和人工景物所構成的總體特徵，包括岩石、土壤、植被、動物、水體、人工構築物和人類活動的遺跡，也包括其中的氣候特徵。,,,自然科學-自然科學,,,大地景觀,tāi-tē kíng-kuan
100108,大自然,自然界。常指山川景物而言。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程 健康與體育-健康與體育,社會-社會 自然科學-自然科學,社會-社會,自然科學-生物 自然科學-地球科學,社會-歷史,大自然,tāi-tsū-jiân
100109,大西洋,五大洋之一。在美洲以東，歐洲與非洲以西，北通北極海，南接南極洲。面積8158萬5000平方公里。,,,社會-社會,社會-地理,,大西洋,Tāi-se-iûnn
100110,大坌坑文化,目前在臺灣發現最早的石器時代文化，因位於新北市八里區大坌坑史前遺址而得名，為一成熟發展的新石器時代文化，分布於臺灣本島西岸的北部、中部、南部，以及澎湖群島。,,,,社會-歷史,,大坌坑文化,Tuā-pùn-khenn bûn-huà
100111,大於（>）,某一數值相較於另一數值大，「＞」讀作大於。,數學-數學,,,,,大於,tuā-î
100112,大洋洲,世界五大洲之一。散布於太平洋內大小島嶼的總稱。包括澳洲大陸、紐西蘭、密克羅尼西亞群島、美拉尼西亞群島、玻里尼西亞群島等地。也稱為「海洋洲」。,,,社會-社會,社會-地理,,大洋洲,Tāi-iûnn-tsiu
100113,大風吹,是一種多人進行的團體遊戲（至少需要三個人）。玩遊戲者中只有一個人沒有座位（稱為鬼），大家依鬼提出的條件，符合條件的人需交換座位，而鬼也會和這些人搶座位，最後沒有座位的人是下一回合的鬼，累計幾次當鬼的人算輸。,,藝術-藝術,,,,透大風,thàu-tuā-hong
100114,大員,大員是一個古地名，位於臺南市安平區台江內海，也稱作「一鯤鯓」，由臺灣大武壠族大灣社或臺窩灣社之名轉化而來，不同時期被轉譯成臺員、大灣等不同稱呼。17世紀荷蘭人曾在此建熱蘭遮城（今安平古堡）。河洛人早走水聚集並且延伸至魍港一帶活動，德國史學家Ludwig Riess研究荷蘭史料時亦曾如此表示，後來之荷蘭人與平埔住民亦乃經過早已來做貿易之河洛先民通譯而溝通，大員後轉寫為大灣。,,,社會-社會,社會-歷史,,大員,Tāi-uân
100115,大家庭,人口眾多的家庭。,,,社會-社會,社會-地理,,大家庭 大家口 大口灶 大口家,tuā-ka-tîng tuā-ke-kháu tuā-kháu-tsàu tuā-kháu-ke
100116,大氣,包圍在地球外的空氣。由多種氣體混合而成，其中以氮、氧為主要成分。,,自然科學-自然科學,,,自然科學-生物,大氣,tāi-khì
100117,大氣層,包圍在地球四周的一層空氣。一般依據其溫度變化，將大氣層沿垂直方向劃分為對流層、平流層、中氣層及增溫層等。因受地球引力的影響，空氣的濃度離地表愈遠愈為稀薄。也作「大氣圈」。,,自然科學-自然科學,,,自然科學-地球科學,大氣層,tāi-khì-tsân
100118,大航海時代,指在15─17世紀世界各地，尤其是歐洲發起的廣泛跨洋活動與地理學上的重大突破，又稱「地理大發現」。,,,社會-社會,社會-歷史,社會-歷史,大航海時代,Tuā-hâng-hái Sî-tāi
100119,大眾運輸工具,依固定路線及時刻表行駛，且價格低廉，為大眾使用的快速便捷的運輸方式。,,社會-社會,社會-社會 健康與體育-健康與體育,,,大眾運輸工具,tāi-tsiòng ūn-su kang-kū tāi-tsiòng ūn-su kang-khū
100120,大眾運輸系統,依固定路線及時刻表行駛，且價格低廉，為大眾使用的快速便捷的運輸方式。,,社會-社會,社會-社會,健康與體育-健康教育,,大眾運輸系統,tāi-tsiòng ūn-su hē-thóng
100121,大都會區,根據中華民國行政院主計處的定義，凡都會區內人口總數達一百萬以上者，也稱為「大都會」。,,,社會-社會,,,大都會區,tuā-too-huē-khu
100122,大陸冷氣團,形成於大陸地塊內部的冷氣團。大陸冷氣團自發源地移出後，除造成經過地區的氣溫降低外，本身一路上亦受通過地區環境影響，而使性質改變，氣溫上升。大陸地區蒙古、新疆一帶常為冷氣團的發源地。,,,自然科學-自然科學,自然科學-地球科學,自然科學-地球科學,大陸冷氣團,tāi-lio̍k líng-khì-thuân
100123,大陸島,大陸島指的是其地質構造與鄰近的大陸相似，原屬大陸的一部分，由於地殼下沉或海水上升以至於其與大陸相隔成島。,,,社會-社會,社會-地理,,大陸島,tāi-lio̍k-tó
100124,大熊座,大熊座是北天星座之一，位於小熊座、小獅座附近，與仙后座相對。春季適合觀察，是著名的北斗七星所在星座。,,,自然科學-自然科學,,,大熊座,Tāi-hîm-tsō Tuā-hîm-tsō
100125,大數,指數目字相對較大的數字。,數學-數學,,數學-數學,數學-數學,,大數,tuā-sòo
100126,大篆,書體名。也稱為「籀文」。,,,語文-國語文,語文-國語文,,大篆,tuā-thuàn
100127,大齒輪,周圍有齒輪的大型輪子。一對齒輪各裝在一軸上，由於齒的咬合，一軸的轉動得以帶動另一軸。廣泛用於機械的運轉上。,,,自然科學-自然科學,自然科學-理化,,大車齒 大gí仔 大狗齒仔 大齒輪,tuā-tshia-khí tuā-gí-á tuā-káu-khí-á tuā-khí-lûn
100128,大聲,聲音宏大、響亮。,,藝術-藝術,,,,大聲,tuā-siann
100129,大獵祭,大獵祭（mangayau）是大狩獵祭的簡稱，是緊接在猴祭之後進行的祭典，其原始意義為年度的狩獵、復仇與獵首。,,社會-社會,社會-社會,,,大獵祭,tuā-la̍h-tsè
100130,子代,生物所產生的後一代，稱為「子代」。,,,自然科學-自然科學,自然科學-生物,自然科學-生物,後代,āu-tāi hiō-tāi
100131,子房,雌蕊花柱下部膨大處。由變形的大孢子葉向內包圍而形成，內含胚珠。,,,自然科學-自然科學,自然科學-生物,,子房,tsú-pâng
100132,子宮,雌性動物生殖器的主要部分，由平滑肌肉所構成的中空器官。位於小骨盤內膀胱與直腸之間，以子宮頸與陰道相連，底部兩側與輸卵管相通。為胎兒發育的場所。,,,自然科學-自然科學,自然科學-生物,,子宮,tsú-kiong
100133,子葉,種子胚的一部分，位於胚芽兩側，厚瓣狀，為貯藏養分或幼苗進行同化作用的構造，萌芽後會伸展成初生葉，但亦有植物發芽時子葉並不露出土面。,,自然科學-自然科學,,自然科學-生物,,子葉,tsú-hio̍h
100134,小,表示體積、面積、數量、容量、年齡等窄、少。與「大」相對。,數學-數學,數學-數學,,,,細 小,sè sió
100135,小作家,年紀幼小，喜愛文學、藝術創作的人。,,,語文-國語文,,,小作家,sió-tsok-ka
100136,小於（<）,某一數值相較於另一數值小，如：243比247小，記作243＜247，「＜」讀作小於。,數學-數學,,,,,小於,sió-î
100137,小朋友,相對於成年人而言會稱呼某特定年齡層以下之孩童為小朋友（通常為青少年以下，但會因特定語境而有所差異）。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,綜合活動-綜合活動,綜合活動-綜合活動,,,小朋友 囡仔兄 囡仔姊,sió-pîng-iú gín-á-hiann gín-á-tsí
