tl,hanzi,frequency
hang,烘,200
kha̍p,磕,200
lâng,膿,200
ìm,蔭,200
giô,蟯,200
bih,覕,200
tsiān,賤,200
tiô,趒,200
khiâ,騎,200
khau,鬮,200
peh,百,162
hiong,兇,150
ki,吱,150
khòng,壙,150
tshe,妻,150
hàinn,幌,150
phôo,扶,150
am,掩,150
tshiám,攕,150
thuann,攤,150
thuā,汰,150
iû,游,150
lông,濃,150
tsuànn,炸,150
siāu,紹,150
hak,蓄,150
sian,鉎,150
tân,霆,150
jī,餌,150
kán,𡢃,150
tòo,𪐞,150
gê,㤉,100
khing,傾,100
khiàng,勥,100
ànn,向,100
tiat,哲,100
siânn,唌,100
pho̍k,噗,100
huāi,壞,100
hiâu,嬈,100
siâm,尋,100
khiáu,巧,100
kng,扛,100
tshiau,搜,100
tiah,摘,100
tsik,擠,100
tioh,擢,100
sim,森,100
thài,汰,100
tsuānn,濺,100
kuáinn,稈,100
tsîn,繩,100
kiān,胘,100
tsínn,茈,100
kok,谷,100
kueh,郭,100
khok,酷,100
giap,鋏,100
hâi,頦,100
siān,𤺪,100
khiū,𩚨,100
giāng,giāng,50
pháng,pháng,50
soo,soo,50
tshn̍gh,tshn̍gh,50
tsang,㨑,50
luí,䉪,50
thenn,䖙,50
sîng,乘,50
hing,亨,50
thīn,伨,50
tshng,伸,50
kai,偕,50
jû,儒,50
kuinn,光,50
tāu,兜,50
jiám,冉,50
phut,刜,50
ge,刮,50
khe,刮,50
lâu,劉,50
tshuinn,千,50
sa̍p,卅,50
hùi,卉,50
húi,卉,50
hūi,卉,50
nuī,卵,50
tsňg,吮,50
bài,唄,50
hannh,唅,50
sánn,啥,50
hiàm,喊,50
hiau,囂,50
tún,囤,50
huînn,園,50
tâi,埋,50
tīnn,填,50
hông,夆,50
phānn,奅,50
ne,奶,50
bōng,妄,50
gián,妍,50
ua,娃,50
tîng,婷,50
hông,宏,50
uan,宛,50
uàn,宛,50
uán,宛,50
uân,宛,50
sîn,宸,50
tshik,尺,50
lâm,嵐,50
tó,嶋,50
tshî,徐,50
gū,御,50
kōo,怙,50
î,怡,50
uî,惟,50
siōnn,想,50
khái,愷,50
jiông,戎,50
tse̍h,截,50
tse̍re,截,50
tsue̍h,截,50
tsha̋i,才,50
khok,扣,50
tshé,扯,50
tih,抵,50
gia̍p,挾,50
nge̍h,挾,50
luah,捋,50
tshih,揤,50
ui,揻,50
giáu,搝,50
giú,搝,50
me,搣,50
mi,搣,50
tsô,摷,50
ngiáu,撓,50
to̍h,擇,50
tiak,擉,50
tshuân,攢,50
thik,敕,50
png,方,50
tsuīnn,旋,50
hiok,旭,50
hō,昊,50
io̍k,昱,50
tshióng,昶,50
sīng,晟,50
hui,暉,50
iāu,曜,50
phak,朴,50
phoh,朴,50
phok,朴,50
pho̍h,朴,50
kông,栱,50
huân,桓,50
huān,梵,50
som,森,50
hùn,楦,50
hop,欱,50
nái,氖,50
hāi,氦,50
khin,氫,50
li̍k,氯,50
ki̍t,汔,50
suann,汕,50
hóng,汞,50
phe̍h,沫,50
phe̍rh,沫,50
pho,泡,50
khip,泣,50
phū,浡,50
nuā,涎,50
siânn,涎,50
hiù,溴,50
kut,滑,50
tshak,漆,50
kà,漖,50
phuann,潘,50
siap,澀,50
bî,瀰,50
tsia̍h,炸,50
iok,煜,50
iāng,煬,50
thn̄g,熥,50
lîn,燐,50
giû,牛,50
lerê,犁,50
luê,犁,50
khián,犬,50
hiân,玄,50
sú,璽,50
suân,璿,50
hê,畦,50
luî,癗,50
pik,百,50
gîn,睨,50
king,矜,50
tsainn,知,50
sia̍k,矽,50
kih,砌,50
nguí,研,50
ngái,研,50
lún,碖,50
iū,祐,50
jiông,禳,50
tōo,竇,50
ta̍t,笛,50
ti̍k,笛,50
lerē,笠,50
thuàn,篆,50
buê,糜,50
bêr,糜,50
muâi,糜,50
kuǎn,縣,50
kong,罡,50
siông,翔,50
u̍t,聿,50
ôo,胡,50
ngōo,臥,50
tship,艥,50
kho5,苛,50
tshiang,菖,50
suan,萱,50
pha,葩,50
phà,葩,50
tshong,蒼,50
kueh,蕨,50
khing,虹,50
khīng,虹,50
hā,蚶,50
huē,蟹,50
hē,蟹,50
phēr,被,50
buâ,覓,50
bā,覓,50
bǎ,覓,50
tshik,觸,50
gân,言,50
suan,訕,50
khóo,許,50
siōng,誦,50
tshoh,誶,50
hioh,諾,50
tsán,讚,50
hô,豪,50
thuā,豸,50
tsāi,豸,50
tí,豸,50
ba̍uh,貿,50
tsi̍k,賊,50
thng,賰,50
tsuāi,跩,50
tsuāinn,跩,50
tenn,蹬,50
khing,輕,50
hui,輝,50
huán,返,50
ngôo,遨,50
u̍t,遹,50
ip,邑,50
puē,邶,50
tsiàu,醮,50
kun,鈞,50
phî,鈹,50
sik,銫,50
tiānn,錠,50
bíng,錳,50
tsiong,鍾,50
bí,鎂,50
lui,鐳,50
him,鑫,50
siunn,鑲,50
khuat,闊,50
khuat,闕,50
tshuàng,闖,50
khàm,闞,50
pha̍uh,雹,50
gê,霓,50
huān,飯,50
gî,騎,50
khî,騎,50
khuan,髖,50
khiu,鬮,50
hîr,魚,50
tsun,鱒,50
khiu,鳩,50
phîng,鵬,50
pîng,鵬,50
pháng,麭,50
hik,黑,50
ngôo,鼇,50
tshāi,,50
bú-iânn,Bú-iânn,25
khé-sih,Khé-sih,25
nóo-sut,NO捽,25
ok-tah,OK貼,25
phái-sòng,Phái-sòng,25
só-ut,Só-ut,25
uí-khih,Uí-khih,25
ap-lóo,ap-lóo,25
bak-kuh,bak-kuh,25
bat-tah,bat-tah,25
bán-bah,bán-bah,25
ba̋i-khín,ba̋i-khín,25
bian-jín,bian-jín,25
biat-tooh,biat-tooh,25
bàn-bà,bàn-bà,25
bàng-gà,bàng-gà,25
bàng-kah,bàng-kah,25
bá-á,bá 仔,25
bá-luh,bá-luh,25
bá-suh,bá-suh,25
bá-tah,bá-tah,25
bái-bāi,bái-bāi,25
báng-gà,báng-gà,25
bì-lù,bì-lù,25
bí-sooh,bí-sooh,25
bòo-lù,bòo-lù,25
bòo-tòo,bòo-tòo,25
giat-láu,giat-láu,25
gioh-toh,gioh-toh,25
gàn-tshut,gàn出,25
gá-lah,gá-lah,25
gá-suh,gá-suh,25
gì-tà,gì-tà,25
gōo-bōo,gōo-bōo,25
ha̋ng-góo,ha̋ng-góo,25
hài-iah,hài-iah,25
hài-ià,hài-ià,25
há-muh,há-muh,25
há-puh,há-puh,25
há-ti,há-ti,25
hì-tah,hì-tah,25
hú-looh,hú-looh,25
ia̋n-jín,ia̋n-jín,25
iá-mih,iá-mih,25
ió-bih,ió-bih,25
ióo-kah,ióo-kah,25
iú-lih,iú-lih,25
iő-káng,iő-káng,25
jiah-khuh,jiah-khuh,25
jiak-kuh,jiak-kuh,25
jiàn-bà,jiàn-bà,25
jiá-kuh,jiá-kuh,25
jió-toh,jió-toh,25
ji̋n-jín,ji̋n-jín,25
khí-puânn,key盤,25
kha-báng,kha-báng,25
kha-tián,kha-tián,25
kha̋n-jióo,kha̋n-jióo,25
kha̋ng-páng,kha̋ng-páng,25
khit-teh,khit-teh,25
khiu-niú,khiu-niú,25
khiā-háng,khiā-háng,25
khiű-ián,khiű-ián,25
khiű-khé,khiű-khé,25
khok-puh,khok-puh,25
khu-sióng,khu-sióng,25
khut-sè,khut-sè,25
khà-suh,khà-suh,25
khà-sàng,khà-sàng,25
khà-tsiàng,khà-tsiàng,25
khà-tòo,khà-tòo,25
khá-phooh,khá-phooh,25
khè-sù,khè-sù,25
khé-lih,khé-lih,25
khí-looh,khí-looh,25
khí-pòo,khí-pòo,25
khòng-buh,khòng-buh,25
khòo-lah,khòo-lah,25
khòo-tah,khòo-tah,25
khòo-tòo,khòo-tòo,25
khóo-khooh,khóo-khooh,25
kián-muh,kián-muh,25
kīnn-kuāinn,kīnn-kuāinn,25
kōng-kiauh,kōng-kiauh,25
lat-tè,lat-tè,25
le-bóng,le-bóng,25
li-kōo,li-kōo,25
lia̋n-táng,lia̋n-táng,25
li̋n-jín,li̋n-jín,25
li̋n-tsín,li̋n-tsín,25
lop-lop,lop-lop,25
lài-tah,lài-tah,25
làng-káng,làng-káng,25
làu-tshe̍h,làu-tshe̍h,25
lè-sìr,lè-sìr,25
lìn-gòo,lìn-gòo,25
lòm-lòm,lòm-lòm,25
lòo-suh,lòo-suh,25
lòo-sìr,lòo-sìr,25
lóo-sìr,lóo-sìr,25
lā-thé,lā-thé,25
me-lóng,me-lóng,25
me-me,me-me,25
mi-sín,mi-sín,25
mooh-phīnn,mooh鼻,25
má-too,má-too,25
mái-khuh,mái-khuh,25
mái-kù,mái-kù,25
mè-sì,mè-sì,25
mè-sù,mè-sù,25
mí-soh,mí-soh,25
mí-sòoh,mí-sòoh,25
mòo-tà,mòo-tà,25
móo-khah,móo-khah,25
móo-oh,móo-oh,25
mā-tsia,mā-tsia,25
na̋i-lóng,na̋i-lóng,25
ngiauh-kiauh,ngiauh-kiauh,25
ni-sín,ni-sín,25
nóo-lih,nóo-lih,25
nőo-sín,nőo-sín,25
oo-lián,oo-lián,25
pa-suh,pa-suh,25
pha̍t-tái,pha̍t-tái,25
phiu-tsuí,phiu水,25
phiàn-tsih,phiàn-tsih,25
phi̋n-phóng,phi̋n-phóng,25
phàng-kù,phàng-kù,25
phá-nah,phá-nah,25
phí-sah,phí-sah,25
phí-tsah,phí-tsah,25
phòng-phù,phòng-phù,25
pit-tsah,pit-tsah,25
sak-khuh,sak-khuh,25
se-bùn,se-bùn,25
seh-seh,seh-seh,25
sia-sín,sia-sín,25
siak-phānn,siak-phānn,25
siat-tooh,siat-tooh,25
siat-tsuh,siat-tsuh,25
sio̍k-pháng,sio̍k-pháng,25
siàm-phuh,siàm-phuh,25
sà-suh,sà-suh,25
sài-sù,sài-sù,25
sàm-io,sàm腰,25
sàn-bah,sàn-bah,25
sá-keh,sá-keh,25
sè-hù,sè-hù,25
sòo-sù,sòo-sù,25
sú-sih,sú-sih,25
sīng-tsiú,sīng酒,25
tang-lóo,tang-lóo,25
thak-khooh,thak-khooh,25
theh-puh,theh-puh,25
thài-ià,thài-ià,25
thài-lù,thài-lù,25
thàn-gòo,thàn-gòo,25
thàng-sù,thàng-sù,25
tshenn-tso̍h,tshenn-tso̍h,25
tshià-lih,tshià-lih,25
tshuaih-kóng,tshuaih講,25
tshè-luî,tshè-雷,25
tshì-juh,tshì-juh,25
tshì-suh,tshì-suh,25
tsiak-kuh,tsiak-kuh,25
tsiok-kih,tsiok-kih,25
tsit-puh,tsit-puh,25
tsiű-tsiú,tsiű-tsiú,25
táng-lóo,táng-lóo,25
tòo-sàng,tòo-sàng,25
tóo-muh,tóo-muh,25
tóo-sàng,tóo-sàng,25
tānn-sit,tānn失,25
u-lóng,u-lóng,25
u-tóng,u-tóng,25
uah-saih,uah-saih,25
uân-á,uân-á,25
àn-nāi,àn-nāi,25
àu-tsuh,àu-tsuh,25
á-geh,á-geh,25
á-tah,á-tah,25
áng-lái,áng-lái,25
òo-bà,òo-bà,25
ùn-tsiàng,ùn-tsiàng,25
ūn-lâng,ūn膿,25
sè-lù,セル,25
làng-kàng,㝗港,25
láng-káng,㝗港,25
gê-lān,㤉𡳞,25
khê-khê,㧎㧎,25
khê-khang,㧎空,25
khê-kuan,㧎關,25
khê-bé,㧎馬,25
tu-hong,㧣風,25
tàng-kah,㨂甲,25
tsānn-hî,㨻魚,25
tsānn-hû,㨻魚,25
khiap-sái,㾀屎,25
bái-tshiú,䆀手,25
bái-tsâi,䆀才,25
bái-kuat,䆀抉,25
bái-liāu,䆀料,25
bái-iūnn,䆀樣,25
bái-hué,䆀火,25
bái-huè,䆀貨,25
luí-tsînn,䉪錢,25
thē-á,䖳仔,25
thē-hî,䖳魚,25
tshiāng-óng,䢢往,25
tsi̍t-ê,一个,25
tsi̍t-hūn,一份,25
tsi̍t-lia̍t,一列,25
tsi̍t-ue̍h,一劃,25
tsi̍t-ui̍h,一劃,25
tsi̍t-jí,一子,25
tsi̍t-kang,一工,25
tsi̍t-nî,一年,25
it-tó,一度,25
tsi̍t-kńg,一捲,25
tsi̍t-phuat,一撇,25
tsi̍t-pái,一擺,25
tsi̍t-pue,一桮,25
tsi̍t-huâinn,一橫,25
tsi̍t-huînn,一橫,25
tsi̍t-pah,一百,25
tsi̍t-pà,一百,25
it-tsīn,一盡,25
it-tíng,一等,25
tsi̍t-láng,一籠,25
tsi̍t-kuàn,一罐,25
tsi̍t-luí,一蕊,25
tsi̍t-sin,一身,25
tsi̍t-piàn,一遍,25
tsi̍t-tsiah,一隻,25
tshit-si̍k,七夕,25
tshit-iāu,七曜,25
tshit-tiám,七點,25
tiūnn-ḿ,丈姆,25
sam-guân,三元,25
sam-uî,三圍,25
sann-pó,三寶,25
sam-hiân,三弦,25
sann-tsáinn,三指,25
sann-kái,三改,25
sam-bîng,三明,25
sam-sing,三星,25
sàm-sóng,三爽,25
sam-li̍p,三立,25
sam-tiông,三重,25
sam-tîng,三重,25
sam-bûn,三門,25
siōng-thuân,上傳,25
tsiūⁿ-thuân,上傳,25
sîng-guân,上元,25
siōng-siânn,上城,25
siāng-suí,上媠,25
siōng-suí,上媠,25
siōng-ài,上愛,25
siāng-kuân,上懸,25
siōng-hâng,上杭,25
tsiūnn-kè,上架,25
siāng-hái,上海,25
siāng-tsē,上濟,25
tsiūnn-sik,上色,25
tsiūnn-lo̍h,上落,25
siōng-gû,上虞,25
tsiūnn-bông,上雺,25
hē-giô,下giô,25
hē-tsoh,下作,25
hā-guân,下元,25
ē-siânn,下城,25
ē-poo,下埔,25
ē-tsá,下早,25
ē-tsái,下早,25
e-huinn,下昏,25
ē-tàu,下晝,25
ē-kue̍h,下橛,25
ē-iânn,下營,25
hā-siau,下痟,25
ē-tuan,下端,25
put-tan,不丹,25
put-kiat,不吉,25
put-tsāi,不在,25
put-jû,不如,25
put-pí,不比,25
put-thong,不通,25
sîng-siùnn,丞相,25
pīng-tshiánn,並且,25
tiong-lâng,中人,25
tiong-kài,中介,25
tiong-guân,中元,25
tiong-hô,中和,25
tiong-kok,中國,25
tiong-tsong,中宗,25
tiong-hang,中烘,25
tiong-huân,中環,25
tiong-khuân,中環,25
tiong-tshiu,中秋,25
tiong-kan,中間,25
tiong-lî,中離,25
tiong-thi,中麶,25
tshuàn-ue,串椏,25
tshuàn-ínn,串穎,25
tshuàn-kóng,串講,25
uân-á,丸仔,25
tan-tshing,丹青,25
tòng-pn̄g,丼飯,25
kiú-pia̍t,久別,25
sîng-pho,乘波,25
sīng-suà,乘紲,25
it-thaì,乙太,25
it-thài,乙太,25
kiú-ngóo,九五,25
kiú-jû,九如,25
kiú-lû,九如,25
káu-bué,九尾,25
káu-bé,九尾,25
kiú-tsiu,九州,25
kiú-kui,九歸,25
ta-khe,乾溪,25
khiân-phiàn,乾片,25
kan-kia̍t,乾竭,25
luān-liû,亂流,25
liáu-jiân,了然,25
liáu-liân,了然,25
liáu-tiān,了電,25
hōo-lâng,予人,25
hōo-lí,予你,25
ho-tsò,予做,25
hōo-lán,予咱,25
sū-ká,事假,25
sū-sian,事先,25
ji-tsa̍p,二十,25
jī-tsa̍p,二十,25
jī-uî,二圍,25
jī-hiân,二弦,25
jī-tsiàn,二戰,25
jī-gue̍h,二月,25
jī-lîm,二林,25
ûn-kíng,云境,25
ûn-tsng,云庄,25
hōo-thik,互斥,25
ngóo-jîn,五仁,25
gōo-uî,五圍,25
ngóo-tshinn,五星,25
gōo-lâu,五樓,25
gōo-kah,五甲,25
ngóo-kok,五穀,25
gōo-kiat,五結,25
gōo-hue,五花,25
gōo-sài,五賽,25
tsénn-khàm,井崁,25
a-tong,亞當,25
a-è,亞裔,25
khòng-huānn,亢旱,25
kau-tang,交冬,25
kau-kuah,交割,25
kau-in,交姻,25
kau-tsiap,交接,25
kau-kiû,交球,25
kau-kuan,交關,25
hâi-kik,亥革,25
gîn-som,人參,25
ji̋n-jín,人參,25
jîn-sim,人參,25
jîn-som,人參,25
lîn-som,人參,25
lâng-ling,人奶,25
jîn-sim,人心,25
jîn-khì,人氣,25
lâng-tse,人災,25
lâng-un,人瘟,25
lâng-pān,人範,25
lâng-sik,人色,25
lâng-pôo,人酺,25
lâng-bīn,人面,25
jîn-tsong,仁宗,25
kin-thian,今天,25
tann-sik,今式,25
kim-ji̍t,今日,25
kīn-ji̍t,今日,25
im-àm,今暗,25
sian-tâi,仙台,25
sian-ku,仙居,25
sian-thô,仙桃,25
sian-iû,仙遊,25
kâng-sim,仝心,25
kāng-the,仝梯,25
kâng-khuán,仝款,25
kâng-siann,仝聲,25
ko-ló,仡佬,25
ko-nóo,仡佬,25
tāi-sing,代先,25
tāi-pè,代幣,25
tāi-tsâi,代才,25
tāi-kau,代溝,25
tāi-lí,代理,25
līng-hô,令和,25
í-sat,以撒,25
tiōng-iû,仲由,25
hūn-pó,份保,25
khì-ue̍h,企劃,25
i-bī,伊未,25
i-ê,伊的,25
kī-lióng,伎倆,25
hū-hi,伏羲,25
ho̍k-bīn,伏面,25
hiu-khan,休刊,25
hiu-king,休耕,25
pek-giû,伯牛,25
phuānn-lī,伴侶,25
phuānn-lū,伴侶,25
phuānn-tshiú,伴手,25
phuānn-kíng,伴景,25
phuānn-kiânn,伴行,25
tshun-kiu,伸勼,25
phenn-khin,伻輕,25
phinn-khin,伻輕,25
phenn-hîng,伻還,25
phenn-phoo,伻鋪,25
tān-tān,但但,25
tān-tsāi,但在,25
tī-tshù,佇厝,25
tī-leh,佇咧,25
tī-hia,佇遐,25
tī-tsia,佇遮,25
kē-ap,低壓,25
kē-tiāu,低調,25
kē-lōo,低路,25
tsò-tun,佐敦,25
tsiàm-suànn,佔線,25
toh-lo̍h,佗落,25
tá-lo̍h,佗落,25
tó-lo̍h,佗落,25
û-thian,余天,25
î-iâu,余姚,25
î-hâng,余杭,25
hu̍t-kok,佛國,25
pu̍t-sim,佛心,25
tsok-sit,作息,25
tsoh-sit,作穡,25
lí-hó,你好,25
láu-á,佬仔,25
láu-ak,佬沃,25
tènn-tshenn,佯生,25
tìnn-tshinn,佯生,25
ka-ngóo,佳偶,25
lâi-sê,來洗,25
lâi-tńg,來轉,25
tòng-gōng,侗戇,25
king-siān,供膳,25
kiong-siān,供膳,25
tshim-khuân,侵權,25
piān-phín,便品,25
piān-sóo,便所,25
piān-tshah,便插,25
piān-í,便椅,25
piān-mi̍h,便物,25
piān-tong,便當,25
piān-nā,便若,25
hē-hāng,係項,25
gô-kok,俄國,25
gô-lô,俄羅,25
sio̍k-mi̍h,俗物,25
sio̍k-bé,俗買,25
sio̍k-buē,俗賣,25
sio̍k-bē,俗賣,25
sio̍k-pháng,俗麭,25
pó-tsuân,保全,25
pó-sian,保鮮,25
siu-tsìng,修正,25
pâi-iu,俳優,25
án-kong,俺公,25
án-nia,俺娘,25
tshng-suann,倉山,25
tshng-tshí,倉鼠,25
kò-tsu,個資,25
tò-khau,倒剾,25
tò-kiu,倒勼,25
tò-hiànn,倒向,25
tò-tshiú,倒手,25
tò-pān,倒扮,25
tò-tsai,倒栽,25
tò-se̍h,倒踅,25
tò-ta̍h,倒踏,25
khut-kiông,倔強,25
hâu-bîn,候眠,25
hâunn-bîn,候眠,25
uá-bong,倚摸,25
uá-tàu,倚晝,25
uá-toh,倚桌,25
uá-beh,倚欲,25
uá-tiâu,倚牢,25
uá-kha̍p,倚磕,25
uá-tuā,倚舵,25
uá-tshin,倚親,25
uá-hiám,倚險,25
uá-im,倚音,25
uá-kà,倚駕,25
tsioh-tshia,借車,25
sông-sông,倯倯,25
ké-pai,假俳,25
ké-ióng,假勇,25
ké-bat,假捌,25
ké-siàu,假數,25
ké-siáu,假痟,25
ká-suat,假說,25
ké-tsînn,假錢,25
guā-nī,偌爾,25
phian-hiong,偏鄉,25
phinn-thâu,偏頭,25
tsò-tshit,做七,25
tsò-lâng,做人,25
tsò-kù,做句,25
tsuè-buê,做囮,25
tsò-buê,做囮,25
tsò-huînn,做園,25
tsò-thôo,做塗,25
tsò-suann,做山,25
tsò-siū,做岫,25
tsò-sîng,做成,25
tsò-huānn,做旱,25
tsò-uānn,做旱,25
tsò-gue̍h,做月,25
tsò-ba̍k,做木,25
tsò-tshân,做田,25
tsò-sik,做色,25
thîng-khan,停刊,25
thîng-pán,停版,25
thîng-tiānn,停碇,25
kiān-tiu,健丟,25
thau-khiang,偷坑,25
thau-luí,偷壘,25
thau-bî,偷微,25
thau-thiann,偷聽,25
thau-tshuā,偷𤆬,25
suâinn-suâinn,傖傖,25
pī-khò,備課,25
tsông-tsînn,傱錢,25
ngōo-kiau,傲嬌,25
thuân-tō,傳導,25
siunn-kài,傷介,25
siunn-uànn,傷晏,25
siong-pún,傷本,25
siunn-tse,傷濟,25
siunn-tsue,傷濟,25
siunn-tinn,傷甜,25
siunn-hàm,傷譀,25
siunn-hn̄g,傷遠,25
siong-tiōng,傷重,25
hiau-hīng,僥倖,25
hiau-tshuē,僥揣,25
hiau-tshē,僥揣,25
hiau-khí,僥起,25
oh-tsuè,僫做,25
oh-tsò,僫做,25
oh-tshiâu,僫撨,25
oh-kóng,僫講,25
oh-thàn,僫趁,25
oh-tshia,僫車,25
oh-pān,僫辦,25
tsiàm-uē,僭話,25
khiām-tshuì,儉喙,25
khiām-tsuí,儉水,25
khiām-gia̍h,儉額,25
gām-bīn,儑面,25
jû-i,儒醫,25
sâm-io,儳腰,25
sām-io,儳腰,25
giám-ngē,儼硬,25
giám-ngī,儼硬,25
ún-tsún,允准,25
ín-pue,允桮,25
guân-siau,元宵,25
guân-tsióng,元掌,25
guân-khik,元曲,25
hiann-tī,兄弟,25
tshiong-kong,充公,25
tiāu-thâu,兆頭,25
hiong-kông,兇狂,25
sian-senn,先生,25
sian-sinn,先生,25
sin-senn,先生,25
sian-puè,先輩,25
sia̋n-pái,先輩,25
kng-kng,光光,25
kong-ho̍k,光復,25
kng-bîng,光明,25
kng-kueh,光潔,25
kong-ti̍k,光澤,25
kng-liâu,光療,25
kng-ba̍k,光目,25
kong-khoo,光箍,25
kng-kim,光金,25
kng-hiánn,光顯,25
kng-khu̍t,光𣮈,25
khik-tsè,克制,25
bián-kiann,免驚,25
jî-kho,兒科,25
lî-kho,兒科,25
tau-lâu,兜樓,25
tau-bû,兜無,25
tau-thâng,兜蟲,25
ji̍p-li̍k,入力,25
gi̍p-bī,入味,25
ji̍p-bī,入味,25
li̍p-bī,入味,25
ji̍p-khenn,入坑,25
ji̍p-tsí,入子,25
ji̍p-bîn,入眠,25
ji̍p-khang,入空,25
ji̍p-tsînn,入錢,25
lāi-kan,內奸,25
lāi-ke,內家,25
lāi-iân,內緣,25
luē-tsōng,內臟,25
tsuân-uân,全員,25
tsuân-pan,全班,25
tsuân-liân,全聯,25
tsuân-huat,全髮,25
nn̄g-ê,兩個,25
lióng-kong,兩光,25
nn̄g-khoo,兩箍,25
lióng-hân,兩韓,25
nn̄g-tiám,兩點,25
pat-tin,八珍,25
pat-kiok,八腳,25
kong-tāi,公代,25
kong-tsè,公債,25
kong-ín,公允,25
kong-ún,公允,25
kong-sing,公升,25
kong-ti̍k,公敵,25
kong-hioh,公歇,25
kong-sī,公視,25
kong-tshin,公親,25
kong-tshia,公車,25
lio̍k-tui,六堆,25
la̍k-tóo,六堵,25
la̍k-bué,六尾,25
la̍k-bé,六尾,25
la̍k-nî,六年,25
lio̍k-tiâu,六朝,25
lio̍k-gē,六藝,25
la̍k-tiám,六點,25
kāng-phuānn,共伴,25
kiōng-kong,共工,25
kā-guá,共我,25
kāng-tīn,共陣,25
ping-tuann,兵單,25
ping-khòo,兵庫,25
tián-sè,典世,25
kiam-kià,兼寄,25
phànn-tâm,冇談,25
jiám-jiám,冉冉,25
jiám-kîu,冉求,25
tsài-pāi,再敗,25
mōo-hiám,冒險,25
bián-liû,冕旒,25
līng-ân,冗絚,25
tang-bō,冬帽,25
tang-hún,冬粉,25
ping-guân,冰原,25
ping-tē,冰地,25
ping-tó,冰島,25
ping-sua,冰沙,25
ping-siunn,冰箱,25
ping-thn̂g,冰糖,25
ping-kak,冰角,25
líng-lāi,冷利,25
líng-king,冷宮,25
líng-sìng,冷性,25
líng-pâng,冷房,25
líng-tshing,冷清,25
líng-kuán,冷管,25
líng-mī,冷麵,25
tshìn-tiûnn,凊場,25
tshìn-tshī,凊市,25
ta-tiú,凋肘,25
tiau-lîng,凋零,25
tòng-gōng,凍戇,25
tàng-ki,凍機,25
tàng-tsuí,凍水,25
tàng-kah,凍甲,25
