hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
上壘,tsiūnn-luí,25,chiūⁿ-lúi,tsiunn7lui2,chiunn7lui2,tsiunnlui,chiunnlui,tl,cl
上籃,tsiūnn-nâ,25,chiūⁿ-nâ,tsiunn7na5,chiunn7na5,tsiunnna,chiunnna,tn,cn
下載,hā-tsài,25,hā-chài,ha7tsai3,ha7chai3,hatsai,hachai,ht,hc
並枕,phīng-tsím,25,phēng-chím,phing7tsim2,pheng7chim2,phingtsim,phengchim,pt,pc
中人,tiong-lâng,25,tiong-lâng,tionglang5,tionglang5,tionglang,tionglang,tl,tl
中場,tiong-tiûnn,25,tiong-tiûⁿ,tiongtiunn5,tiongtiunn5,tiongtiunn,tiongtiunn,tt,tt
中子,tiong-jí,25,tiong-jí,tiongji2,tiongji2,tiongji,tiongji,tj,tj
中子,tiong-lí,25,tiong-lí,tiongli2,tiongli2,tiongli,tiongli,tl,tl
中線,tiong-suànn,25,tiong-sòaⁿ,tiongsuann3,tiongsoann3,tiongsuann,tiongsoann,ts,ts
中鋒,tiong-hong,25,tiong-hong,tionghong,tionghong,tionghong,tionghong,th,th
乳液,jú-i̍k,25,jú-e̍k,ju2ik8,ju2ek8,juik,juek,ji,je
乳液,lú-i̍k,25,lú-e̍k,lu2ik8,lu2ek8,luik,luek,li,le
人熊,lâng-hîm,25,lâng-hîm,lang5him5,lang5him5,langhim,langhim,lh,lh
人陣,lâng-tīn,25,lâng-tīn,lang5tin7,lang5tin7,langtin,langtin,lt,lt
介面,kài-bīn,25,kài-bīn,kai3bin7,kai3bin7,kaibin,kaibin,kb,kb
仙楂,sian-tsa,25,sian-cha,siantsa,siancha,siantsa,siancha,st,sc
侵蝕,tshim-si̍t,25,chhim-si̍t,tshimsit8,chhimsit8,tshimsit,chhimsit,ts,cs
俗麭,sio̍k-pháng,25,sio̍k-pháng,siok8phang2,siok8phang2,siokphang,siokphang,sp,sp
保溼,pó-sip,25,pó-sip,po2sip,po2sip,posip,posip,ps,ps
保送,pó-sàng,25,pó-sàng,po2sang3,po2sang3,posang,posang,ps,ps
修容,siu-iông,25,siu-iông,siuiong5,siuiong5,siuiong,siuiong,si,si
倒子,tò-jí,25,tò-jí,to3ji2,to3ji2,toji,toji,tj,tj
倒子,tò-lí,25,tò-lí,to3li2,to3li2,toli,toli,tl,tl
倫敦,lûn-tun,25,lûn-tun,lun5tun,lun5tun,luntun,luntun,lt,lt
健力,kiān-li̍k,25,kiān-le̍k,kian7lik8,kian7lek8,kianlik,kianlek,kl,kl
健美,kiān-bí,25,kiān-bí,kian7bi2,kian7bi2,kianbi,kianbi,kb,kb
偶像,ngóo-siōng,25,ngó͘-siōng,ngoo2siong7,ngoo2siong7,ngoosiong,ngoosiong,ns,ns
備份,pī-hūn,25,pī-hūn,pi7hun7,pi7hun7,pihun,pihun,ph,ph
傭兵,iông-ping,25,iông-peng,iong5ping,iong5peng,iongping,iongpeng,ip,ip
優格,iu-keh,25,iu-keh,iukeh,iukeh,iukeh,iukeh,ik,ik
光面,kng-bīn,25,kng-bīn,kngbin7,kngbin7,kngbin,kngbin,kb,kb
入數,ji̍p-siàu,25,ji̍p-siàu,jip8siau3,jip8siau3,jipsiau,jipsiau,js,js
入數,li̍p-siàu,25,li̍p-siàu,lip8siau3,lip8siau3,lipsiau,lipsiau,ls,ls
內建,luē-kiàn,25,lōe-kiàn,lue7kian3,loe7kian3,luekian,loekian,lk,lk
內文,lāi-bûn,25,lāi-bûn,lai7bun5,lai7bun5,laibun,laibun,lb,lb
內野,lāi-iá,25,lāi-iá,lai7ia2,lai7ia2,laiia,laiia,li,li
全妝,tsuân-tsong,25,choân-chong,tsuan5tsong,choan5chong,tsuantsong,choanchong,tt,cc
全馬,tsuân-má,25,choân-má,tsuan5ma2,choan5ma2,tsuanma,choanma,tm,cm
全麥,tsuân-be̍h,25,choân-be̍h,tsuan5beh8,choan5beh8,tsuanbeh,choanbeh,tb,cb
八角,peh-kak,25,peh-kak,pehkak,pehkak,pehkak,pehkak,pk,pk
八角,pueh-kak,25,poeh-kak,puehkak,poehkak,puehkak,poehkak,pk,pk
公論,kong-lūn,25,kong-lūn,konglun7,konglun7,konglun,konglun,kl,kl
冊迷,tsheh-bê,25,chheh-bê,tshehbe5,chhehbe5,tshehbe,chhehbe,tb,cb
冰壺,ping-ôo,25,peng-ô͘,pingoo5,pengoo5,pingoo,pengoo,po,po
冰沙,ping-sua,25,peng-soa,pingsua,pengsoa,pingsua,pengsoa,ps,ps
冰磚,ping-tsng,25,peng-chng,pingtsng,pengchng,pingtsng,pengchng,pt,pc
冰糖,ping-thn̂g,25,peng-thn̂g,pingthng5,pengthng5,pingthng,pengthng,pt,pt
冷麵,líng-mī,25,léng-mī,ling2mi7,leng2mi7,lingmi,lengmi,lm,lm
凝霜,gîng-song,25,gêng-song,ging5song,geng5song,gingsong,gengsong,gs,gs
凝露,gîng-lōo,25,gêng-lō͘,ging5loo7,geng5loo7,gingloo,gengloo,gl,gl
刀術,to-su̍t,25,to-su̍t,tosut8,tosut8,tosut,tosut,ts,ts
分道,pun-tō,25,pun-tō,punto7,punto7,punto,punto,pt,pt
分頁,hun-ia̍h,25,hun-ia̍h,huniah8,huniah8,huniah,huniah,hi,hi
划船,kò-tsûn,25,kò-chûn,ko3tsun5,ko3chun5,kotsun,kochun,kt,kc
刣掉,thâi-tiāu,25,thâi-tiāu,thai5tiau7,thai5tiau7,thaitiau,thaitiau,tt,tt
利劍,lāi-kiàm,25,lāi-kiàm,lai7kiam3,lai7kiam3,laikiam,laikiam,lk,lk
刪除,san-tî,25,san-tî,santi5,santi5,santi,santi,st,st
刪除,san-tû,25,san-tû,santu5,santu5,santu,santu,st,st
制衡,tsè-hîng,25,chè-hêng,tse3hing5,che3heng5,tsehing,cheheng,th,ch
剪接,tsián-tsiap,25,chián-chiap,tsian2tsiap,chian2chiap,tsiantsiap,chianchiap,tt,cc
剪輯,tsián-tsi̍p,25,chián-chi̍p,tsian2tsip8,chian2chip8,tsiantsip,chianchip,tt,cc
劍術,kiàm-su̍t,25,kiàm-su̍t,kiam3sut8,kiam3sut8,kiamsut,kiamsut,ks,ks
加碼,ka-bé,25,ka-bé,kabe2,kabe2,kabe,kabe,kb,kb
勼排,kiu-pâi,25,kiu-pâi,kiupai5,kiupai5,kiupai,kiupai,kp,kp
匿名,li̍k-miâ,25,le̍k-miâ,lik8mia5,lek8mia5,likmia,lekmia,lm,lm
半勝,puànn-sìng,25,pòaⁿ-sèng,puann3sing3,poann3seng3,puannsing,poannseng,ps,ps
半馬,puànn-má,25,pòaⁿ-má,puann3ma2,poann3ma2,puannma,poannma,pm,pm
協作,hia̍p-tsok,25,hia̍p-chok,hiap8tsok,hiap8chok,hiaptsok,hiapchok,ht,hc
南刀,lâm-to,25,lâm-to,lam5to,lam5to,lamto,lamto,lt,lt
南拳,lâm-kûn,25,lâm-kûn,lam5kun5,lam5kun5,lamkun,lamkun,lk,lk
南棍,lâm-kùn,25,lâm-kùn,lam5kun3,lam5kun3,lamkun,lamkun,lk,lk
卡粉,kha̍h-hún,25,kha̍h-hún,khah8hun2,khah8hun2,khahhun,khahhun,kh,kh
卵塔,nn̄g-thah,25,nn̄g-thah,nng7thah,nng7thah,nngthah,nngthah,nt,nt
卸妝,sià-tsong,25,sià-chong,sia3tsong,sia3chong,siatsong,siachong,st,sc
厚妝,kāu-tsong,25,kāu-chong,kau7tsong,kau7chong,kautsong,kauchong,kt,kc
厝貸,tshù-tāi,25,chhù-tāi,tshu3tai7,chhu3tai7,tshutai,chhutai,tt,ct
口座,kháu-tsō,25,kháu-chō,khau2tso7,khau2cho7,khautso,khaucho,kt,kc
口碑,kháu-pi,25,kháu-pi,khau2pi,khau2pi,khaupi,khaupi,kp,kp
可送,khó-sòng,25,khó-sòng,kho2song3,kho2song3,khosong,khosong,ks,ks
司康,sir-kóng,25,sir-kóng,sirkong2,sirkong2,sirkong,sirkong,sk,sk
司康,su-kóng,25,su-kóng,sukong2,sukong2,sukong,sukong,sk,sk
合球,ha̍p-kiû,25,ha̍p-kiû,hap8kiu5,hap8kiu5,hapkiu,hapkiu,hk,hk
吊環,tiàu-khuân,25,tiàu-khoân,tiau3khuan5,tiau3khoan5,tiaukhuan,tiaukhoan,tk,tk
同步,tông-pōo,25,tông-pō͘,tong5poo7,tong5poo7,tongpoo,tongpoo,tp,tp
和絃,hô-hiân,25,hô-hiân,ho5hian5,ho5hian5,hohian,hohian,hh,hh
咖哩,ka-lí,25,ka-lí,kali2,kali2,kali,kali,kl,kl
品勢,phín-sè,25,phín-sè,phin2se3,phin2se3,phinse,phinse,ps,ps
啞鈴,à-lîng,25,à-lêng,a3ling5,a3leng5,aling,aleng,al,al
啟用,khé-iōng,25,khé-iōng,khe2iong7,khe2iong7,kheiong,kheiong,ki,ki
單巡,tuann-sûn,25,toaⁿ-sûn,tuannsun5,toannsun5,tuannsun,toannsun,ts,ts
單打,tan-tánn,25,tan-táⁿ,tantann2,tantann2,tantann,tantann,tt,tt
單槓,tan-kǹg,25,tan-kǹg,tankng3,tankng3,tankng,tankng,tk,tk
回合,huê-ha̍p,25,hôe-ha̍p,hue5hap8,hoe5hap8,huehap,hoehap,hh,hh
回合,hê-ha̍p,25,hê-ha̍p,he5hap8,he5hap8,hehap,hehap,hh,hh
回沖,huê-tshiong,25,hôe-chhiong,hue5tshiong,hoe5chhiong,huetshiong,hoechhiong,ht,hc
回沖,hê-tshiong,25,hê-chhiong,he5tshiong,he5chhiong,hetshiong,hechhiong,ht,hc
圍棋,uî-kî,25,ûi-kî,ui5ki5,ui5ki5,uiki,uiki,uk,uk
圖示,tôo-sī,25,tô͘-sī,too5si7,too5si7,toosi,toosi,ts,ts
團體,thuân-thé,25,thoân-thé,thuan5the2,thoan5the2,thuanthe,thoanthe,tt,tt
地板,tuē-pán,25,tōe-pán,tue7pan2,toe7pan2,tuepan,toepan,tp,tp
地板,tē-pán,25,tē-pán,te7pan2,te7pan2,tepan,tepan,tp,tp
坦邊,thán-pinn,25,thán-piⁿ,than2pinn,than2pinn,thanpinn,thanpinn,tp,tp
墜機,tuī-ki,25,tūi-ki,tui7ki,tui7ki,tuiki,tuiki,tk,tk
壁球,piah-kiû,25,piah-kiû,piahkiu5,piahkiu5,piahkiu,piahkiu,pk,pk
壓制,ap-tsè,25,ap-chè,aptse3,apche3,aptse,apche,at,ac
壘包,luí-pau,25,lúi-pau,lui2pau,lui2pau,luipau,luipau,lp,lp
壘球,luí-kiû,25,lúi-kiû,lui2kiu5,lui2kiu5,luikiu,luikiu,lk,lk
壯遊,tsōng-iû,25,chōng-iû,tsong7iu5,chong7iu5,tsongiu,chongiu,ti,ci
壺鈴,ôo-lîng,25,ô͘-lêng,oo5ling5,oo5leng5,ooling,ooleng,ol,ol
外遇,guā-gū,25,gōa-gū,gua7gu7,goa7gu7,guagu,goagu,gg,gg
外野,guā-iá,25,gōa-iá,gua7ia2,goa7ia2,guaia,goaia,gi,gi
大寫,tuā-siá,25,tōa-siá,tua7sia2,toa7sia2,tuasia,toasia,ts,ts
大骨,tuā-kut,25,tōa-kut,tua7kut,toa7kut,tuakut,toakut,tk,tk
大麥,tuā-be̍h,25,tōa-be̍h,tua7beh8,toa7beh8,tuabeh,toabeh,tb,tb
失事,sit-sū,25,sit-sū,sitsu7,sitsu7,sitsu,sitsu,ss,ss
奈米,nāi-bí,25,nāi-bí,nai7bi2,nai7bi2,naibi,naibi,nb,nb
奕手,ī-tshiú,25,ī-chhiú,i7tshiu2,i7chhiu2,itshiu,ichhiu,it,ic
奕跤,ī-kha,25,ī-kha,i7kha,i7kha,ikha,ikha,ik,ik
套用,thò-iōng,25,thò-iōng,tho3iong7,tho3iong7,thoiong,thoiong,ti,ti
套路,thò-lōo,25,thò-lō͘,tho3loo7,tho3loo7,tholoo,tholoo,tl,tl
奶泡,ling-pho,25,leng-pho,lingpho,lengpho,lingpho,lengpho,lp,lp
奶泡,ni-pho,25,ni-pho,nipho,nipho,nipho,nipho,np,np
奶酒,ling-tsiú,25,leng-chiú,lingtsiu2,lengchiu2,lingtsiu,lengchiu,lt,lc
奶酒,ni-tsiú,25,ni-chiú,nitsiu2,nichiu2,nitsiu,nichiu,nt,nc
好球,hó-kiû,25,hó-kiû,ho2kiu5,ho2kiu5,hokiu,hokiu,hk,hk
字元,jī-guân,25,jī-goân,ji7guan5,ji7goan5,jiguan,jigoan,jg,jg
字元,lī-guân,25,lī-goân,li7guan5,li7goan5,liguan,ligoan,lg,lg
存檔,tsûn-tóng,25,chûn-tóng,tsun5tong2,chun5tong2,tsuntong,chuntong,tt,ct
安入,an-ji̍p,25,an-ji̍p,anjip8,anjip8,anjip,anjip,aj,aj
安入,an-li̍p,25,an-li̍p,anlip8,anlip8,anlip,anlip,al,al
安打,an-tánn,25,an-táⁿ,antann2,antann2,antann,antann,at,at
定妝,tīng-tsong,25,tēng-chong,ting7tsong,teng7chong,tingtsong,tengchong,tt,tc
室友,sik-iú,25,sek-iú,sikiu2,sekiu2,sikiu,sekiu,si,si
寄付,kià-hù,25,kià-hù,kia3hu3,kia3hu3,kiahu,kiahu,kh,kh
寄罪,kià-tsuē,25,kià-chōe,kia3tsue7,kia3choe7,kiatsue,kiachoe,kt,kc
密碼,bi̍t-bé,25,bi̍t-bé,bit8be2,bit8be2,bitbe,bitbe,bb,bb
射擊,siā-kik,25,siā-kek,sia7kik,sia7kek,siakik,siakek,sk,sk
射正,siā-tsiànn,25,siā-chiàⁿ,sia7tsiann3,sia7chiann3,siatsiann,siachiann,st,sc
射箭,siā-tsìnn,25,siā-chìⁿ,sia7tsinn3,sia7chinn3,siatsinn,siachinn,st,sc
射門,siā-mn̂g,25,siā-mn̂g,sia7mng5,sia7mng5,siamng,siamng,sm,sm
對拍,tuì-phah,25,tùi-phah,tui3phah,tui3phah,tuiphah,tuiphah,tp,tp
小寫,sió-siá,25,sió-siá,sio2sia2,sio2sia2,siosia,siosia,ss,ss
山友,suann-iú,25,soaⁿ-iú,suanniu2,soanniu2,suanniu,soanniu,si,si
山球,suann-kiû,25,soaⁿ-kiû,suannkiu5,soannkiu5,suannkiu,soannkiu,sk,sk
山竹,suann-tik,25,soaⁿ-tek,suanntik,soanntek,suanntik,soanntek,st,st
崁名,khàm-miâ,25,khàm-miâ,kham3mia5,kham3mia5,khammia,khammia,km,km
巨集,kī-tsi̍p,25,kī-chi̍p,ki7tsip8,ki7chip8,kitsip,kichip,kt,kc
巨集,kū-tsi̍p,25,kū-chi̍p,ku7tsip8,ku7chip8,kutsip,kuchip,kt,kc
巴哥,pa-ko,25,pa-ko,pako,pako,pako,pako,pk,pk
布丁,pòo-ting,25,pò͘-teng,poo3ting,poo3teng,pooting,pooteng,pt,pt
帆船,phâng-tsûn,25,phâng-chûn,phang5tsun5,phang5chun5,phangtsun,phangchun,pt,pc
幌壺,hàinn-ôo,25,hàiⁿ-ô͘,hainn3oo5,hainn3oo5,hainnoo,hainnoo,ho,ho
弄舌,lāng-tsi̍h,25,lāng-chi̍h,lang7tsih8,lang7chih8,langtsih,langchih,lt,lc
彈劾,tân-hik,25,tân-hek,tan5hik,tan5hek,tanhik,tanhek,th,th
彗星,huī-tshenn,25,hūi-chheⁿ,hui7tshenn,hui7chhenn,huitshenn,huichhenn,ht,hc
彗星,huī-tshinn,25,hūi-chhiⁿ,hui7tshinn,hui7chhinn,huitshinn,huichhinn,ht,hc
影迷,iánn-bê,25,iáⁿ-bê,iann2be5,iann2be5,iannbe,iannbe,ib,ib
得分,tit-hun,25,tit-hun,tithun,tithun,tithun,tithun,th,th
徛槳,khiā-tsiúnn,25,khiā-chiúⁿ,khia7tsiunn2,khia7chiunn2,khiatsiunn,khiachiunn,kt,kc
徛琴,hah-phuh,25,hah-phuh,hahphuh,hahphuh,hahphuh,hahphuh,hp,hp
徛琴,khiā-khîm,25,khiā-khîm,khia7khim5,khia7khim5,khiakhim,khiakhim,kk,kk
復刻,ho̍k-khik,25,ho̍k-khek,hok8khik,hok8khek,hokkhik,hokkhek,hk,hk
復原,ho̍k-guân,25,ho̍k-goân,hok8guan5,hok8goan5,hokguan,hokgoan,hg,hg
快送,khuài-sàng,25,khoài-sàng,khuai3sang3,khoai3sang3,khuaisang,khoaisang,ks,ks
惡地,ok-tē,25,ok-tē,okte7,okte7,okte,okte,ot,ot
慢分,bān-hun,25,bān-hun,ban7hun,ban7hun,banhun,banhun,bh,bh
截圖,tsia̍t-tôo,25,chia̍t-tô͘,tsiat8too5,chiat8too5,tsiattoo,chiattoo,tt,ct
房貸,pâng-tāi,25,pâng-tāi,pang5tai7,pang5tai7,pangtai,pangtai,pt,pt
手球,tshiú-kiû,25,chhiú-kiû,tshiu2kiu5,chhiu2kiu5,tshiukiu,chhiukiu,tk,ck
打擊,tánn-kik,25,táⁿ-kek,tann2kik,tann2kek,tannkik,tannkek,tk,tk
投手,tâu-tshiú,25,tâu-chhiú,tau5tshiu2,tau5chhiu2,tautshiu,tauchhiu,tt,tc
抹匙,buah-sî,25,boah-sî,buahsi5,boahsi5,buahsi,boahsi,bs,bs
抹粉,buah-hún,25,boah-hún,buahhun2,boahhun2,buahhun,boahhun,bh,bh
抹茶,buah-tê,25,boah-tê,buahte5,boahte5,buahte,boahte,bt,bt
抹面,buah-bīn,25,boah-bīn,buahbin7,boahbin7,buahbin,boahbin,bb,bb
抾線,khioh-suànn,25,khioh-sòaⁿ,khiohsuann3,khiohsoann3,khiohsuann,khiohsoann,ks,ks
拖選,thua-suán,25,thoa-soán,thuasuan2,thoasoan2,thuasuan,thoasoan,ts,ts
拜登,pài-ting,25,pài-teng,pai3ting,pai3teng,paiting,paiteng,pt,pt
拳法,kûn-huat,25,kûn-hoat,kun5huat,kun5hoat,kunhuat,kunhoat,kh,kh
拿鐵,la-thé,25,la-thé,lathe2,lathe2,lathe,lathe,lt,lt
持妝,tshî-tsong,25,chhî-chong,tshi5tsong,chhi5chong,tshitsong,chhichong,tt,cc
挵球,lòng-kiû,25,lòng-kiû,long3kiu5,long3kiu5,longkiu,longkiu,lk,lk
捕手,póo-tshiú,25,pó͘-chhiú,poo2tshiu2,poo2chhiu2,pootshiu,poochhiu,pt,pc
捕殺,póo-sat,25,pó͘-sat,poo2sat,poo2sat,poosat,poosat,ps,ps
捘卵,tsūn-nn̄g,25,chūn-nn̄g,tsun7nng7,chun7nng7,tsunnng,chunnng,tn,cn
捲條,kńg-tiâu,25,kńg-tiâu,kng2tiau5,kng2tiau5,kngtiau,kngtiau,kt,kt
授權,siū-khuân,25,siū-khoân,siu7khuan5,siu7khoan5,siukhuan,siukhoan,sk,sk
排球,pâi-kiû,25,pâi-kiû,pai5kiu5,pai5kiu5,paikiu,paikiu,pk,pk
掠夯,lia̍h-giâ,25,lia̍h-giâ,liah8gia5,liah8gia5,liahgia,liahgia,lg,lg
掰會,pué-huē,25,póe-hōe,pue2hue7,poe2hoe7,puehue,poehoe,ph,ph
換逝,uānn-tsuā,25,ōaⁿ-chōa,uann7tsua7,oann7choa7,uanntsua,oannchoa,ut,oc
揤鈕,tshi̍h-liú,25,chhi̍h-liú,tshih8liu2,chhih8liu2,tshihliu,chhihliu,tl,cl
揹摔,phāinn-siak,25,phāiⁿ-siak,phainn7siak,phainn7siak,phainnsiak,phainnsiak,ps,ps
搖桿,iô-kuáinn,25,iô-koáiⁿ,io5kuainn2,io5koainn2,iokuainn,iokoainn,ik,ik
搜揣,tshiau-tshuē,25,chhiau-chhōe,tshiautshue7,chhiauchhoe7,tshiautshue,chhiauchhoe,tt,cc
搜揣,tshiau-tshē,25,chhiau-chhē,tshiautshe7,chhiauchhe7,tshiautshe,chhiauchhe,tt,cc
搭粉,tah-hún,25,tah-hún,tahhun2,tahhun2,tahhun,tahhun,th,th
摔技,siak-ki,25,siak-ki,siakki,siakki,siakki,siakki,sk,sk
摔法,siak-huat,25,siak-hoat,siakhuat,siakhoat,siakhuat,siakhoat,sh,sh
撞球,tōng-kiû,25,tōng-kiû,tong7kiu5,tong7kiu5,tongkiu,tongkiu,tk,tk
擊劍,kik-kiàm,25,kek-kiàm,kikkiam3,kekkiam3,kikkiam,kekkiam,kk,kk
擊球,kik-kiû,25,kek-kiû,kikkiu5,kekkiu5,kikkiu,kekkiu,kk,kk
擋皺,tòng-jiâu,25,tòng-jiâu,tong3jiau5,tong3jiau5,tongjiau,tongjiau,tj,tj
擋皺,tòng-liâu,25,tòng-liâu,tong3liau5,tong3liau5,tongliau,tongliau,tl,tl
攀岩,phan-giâm,25,phan-giâm,phangiam5,phangiam5,phangiam,phangiam,pg,pg
攔閘,nuâ-tsa̍h,25,nôa-cha̍h,nua5tsah8,noa5chah8,nuatsah,noachah,nt,nc
收賄,siu-hué,25,siu-hóe,siuhue2,siuhoe2,siuhue,siuhoe,sh,sh
放箭,pàng-tsìnn,25,pàng-chìⁿ,pang3tsinn3,pang3chinn3,pangtsinn,pangchinn,pt,pc
散打,sàn-tánn,25,sàn-táⁿ,san3tann2,san3tann2,santann,santann,st,st
斜體,tshiâ-thé,25,chhiâ-thé,tshia5the2,chhia5the2,tshiathe,chhiathe,tt,ct
斷食,tn̄g-si̍t,25,tn̄g-si̍t,tng7sit8,tng7sit8,tngsit,tngsit,ts,ts
早鳥,tsá-niáu,25,chá-niáu,tsa2niau2,cha2niau2,tsaniau,chaniau,tn,cn
明膠,bîng-ka,25,bêng-ka,bing5ka,beng5ka,bingka,bengka,bk,bk
晉級,tsìn-kip,25,chìn-kip,tsin3kip,chin3kip,tsinkip,chinkip,tk,ck
暖男,luán-lâm,25,loán-lâm,luan2lam5,loan2lam5,luanlam,loanlam,ll,ll
暗影,àm-iánn,25,àm-iáⁿ,am3iann2,am3iann2,amiann,amiann,ai,ai
暗擊,àm-kik,25,àm-kek,am3kik,am3kek,amkik,amkek,ak,ak
暗碼,àm-bé,25,àm-bé,am3be2,am3be2,ambe,ambe,ab,ab
更新,king-sin,25,keng-sin,kingsin,kengsin,kingsin,kengsin,ks,ks
書籤,su-tshiam,25,su-chhiam,sutshiam,suchhiam,sutshiam,suchhiam,st,sc
書籤,tsu-tshiam,25,chu-chhiam,tsutshiam,chuchhiam,tsutshiam,chuchhiam,tt,cc
書迷,tsu-bê,25,chu-bê,tsube5,chube5,tsube,chube,tb,cb
