hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
phit-tsiah,phit-tsiah,25,phit-chiah,phit4tsiah4,phit4chiah4,phittsiah,phitchiah,pt,pc
phi̋n-phóng,phi̋n-phóng,25,phĭn-phóng,phin1phong2,phin9phong2,phinphong,phinphong,pp,pp
phòng-phuh,phòng-phuh,25,phòng-phuh,phong3phuh4,phong3phuh4,phongphuh,phongphuh,pp,pp
sa̋n-sín,sa̋n-sín,25,săn-sín,san1sin2,san9sin2,sansin,sansin,ss,ss
siat-tooh,siat-tooh,25,siat-to͘h,siat4tooh4,siat4tooh4,siattooh,siattooh,st,st
siàn-tah,siàn-tah,25,siàn-tah,sian3tah4,sian3tah4,siantah,siantah,st,st
siáu-uah,siáu-uah,25,siáu-oah,siau2uah4,siau2oah4,siauuah,siauoah,su,so
siò-tooh,siò-tooh,25,siò-to͘h,sio3tooh4,sio3tooh4,siotooh,siotooh,st,st
siù-tooh,siù-tooh,25,siù-to͘h,siu3tooh4,siu3tooh4,siutooh,siutooh,st,st
sà-tooh,sà-tooh,25,sà-to͘h,sa3tooh4,sa3tooh4,satooh,satooh,st,st
sè-hù,sè-hù,25,sè-hù,se3hu3,se3hu3,sehu,sehu,sh,sh
sìn-khah,sìn-khah,25,sìn-khah,sin3khah4,sin3khah4,sinkhah,sinkhah,sk,sk
thiàn-tòo,thiàn-tòo,25,thiàn-tò͘,thian3too3,thian3too3,thiantoo,thiantoo,tt,tt
thá-guh,thá-guh,25,thá-guh,tha2guh4,tha2guh4,thaguh,thaguh,tg,tg
tshì-sìr,tshì-sìr,25,chhì-sìr,tshi3sir3,chhi3sir3,tshisir,chhisir,ts,cs
tshì-sù,tshì-sù,25,chhì-sù,tshi3su3,chhi3su3,tshisu,chhisu,ts,cs
tsit-puh,tsit-puh,25,chit-puh,tsit4puh4,chit4puh4,tsitpuh,chitpuh,tp,cp
táng-lóo,táng-lóo,25,táng-ló͘,tang2loo2,tang2loo2,tangloo,tangloo,tl,tl
tōo-né,tōo-né,25,tō͘-né,too7ne2,too7ne2,toone,toone,tn,tn
uá-hòo,uá-hòo,25,óa-hò͘,ua2hoo3,oa2hoo3,uahoo,oahoo,uh,oh
è-sìr,è-sìr,25,è-sìr,e3sir3,e3sir3,esir,esir,es,es
é-lah,é-lah,25,é-lah,e2lah4,e2lah4,elah,elah,el,el
òo-tah,òo-tah,25,ò͘-tah,oo3tah4,oo3tah4,ootah,ootah,ot,ot
䆀球,bái-kiû,25,bái-kiû,bai2kiu5,bai2kiu5,baikiu,baikiu,bk,bk
䖙捒,the-sak,25,the-sak,the1sak4,the1sak4,thesak,thesak,ts,ts
一勝,it-sìng,25,it-sèng,it4sing3,it4seng3,itsing,itseng,is,is
一塊,tsi̍t-tè,25,chi̍t-tè,tsit8te3,chit8te3,tsitte,chitte,tt,ct
一軍,it-kun,25,it-kun,it4kun1,it4kun1,itkun,itkun,ik,ik
三塊,sann-tè,25,saⁿ-tè,sann1te3,sann1te3,sannte,sannte,st,st
三殺,sam-sat,25,sam-sat,sam1sat4,sam1sat4,samsat,samsat,ss,ss
上壘,tsiūnn-luí,25,chiūⁿ-lúi,tsiunn7lui2,chiunn7lui2,tsiunnlui,chiunnlui,tl,cl
上籃,tsiūnn-nâ,25,chiūⁿ-nâ,tsiunn7na5,chiunn7na5,tsiunnna,chiunnna,tn,cn
下載,hā-tsài,25,hā-chài,ha7tsai3,ha7chai3,hatsai,hachai,ht,hc
並枕,phīng-tsím,25,phēng-chím,phing7tsim2,pheng7chim2,phingtsim,phengchim,pt,pc
中場,tiong-tiûnn,25,tiong-tiûⁿ,tiong1tiunn5,tiong1tiunn5,tiongtiunn,tiongtiunn,tt,tt
中子,tiong-jí,25,tiong-jí,tiong1ji2,tiong1ji2,tiongji,tiongji,tj,tj
中子,tiong-lí,25,tiong-lí,tiong1li2,tiong1li2,tiongli,tiongli,tl,tl
中線,tiong-suànn,25,tiong-sòaⁿ,tiong1suann3,tiong1soann3,tiongsuann,tiongsoann,ts,ts
中鋒,tiong-hong,25,tiong-hong,tiong1hong1,tiong1hong1,tionghong,tionghong,th,th
主審,tsú-sím,25,chú-sím,tsu2sim2,chu2sim2,tsusim,chusim,ts,cs
乳液,jú-i̍k,25,jú-e̍k,ju2ik8,ju2ek8,juik,juek,ji,je
乳液,lú-i̍k,25,lú-e̍k,lu2ik8,lu2ek8,luik,luek,li,le
二軍,jī-kun,25,jī-kun,ji7kun1,ji7kun1,jikun,jikun,jk,jk
二軍,lī-kun,25,lī-kun,li7kun1,li7kun1,likun,likun,lk,lk
人熊,lâng-hîm,25,lâng-hîm,lang5him5,lang5him5,langhim,langhim,lh,lh
人陣,lâng-tīn,25,lâng-tīn,lang5tin7,lang5tin7,langtin,langtin,lt,lt
介面,kài-bīn,25,kài-bīn,kai3bin7,kai3bin7,kaibin,kaibin,kb,kb
仙楂,sian-tsa,25,sian-cha,sian1tsa1,sian1cha1,siantsa,siancha,st,sc
代打,tāi-tánn,25,tāi-táⁿ,tai7tann2,tai7tann2,taitann,taitann,tt,tt
代走,tāi-tsáu,25,tāi-cháu,tai7tsau2,tai7chau2,taitsau,taichau,tt,tc
低球,kē-kiû,25,kē-kiû,ke7kiu5,ke7kiu5,kekiu,kekiu,kk,kk
侵蝕,tshim-si̍t,25,chhim-si̍t,tshim1sit8,chhim1sit8,tshimsit,chhimsit,ts,cs
俗麭,sio̍k-pháng,25,sio̍k-pháng,siok8phang2,siok8phang2,siokphang,siokphang,sp,sp
保溼,pó-sip,25,pó-sip,po2sip4,po2sip4,posip,posip,ps,ps
保送,pó-sàng,25,pó-sàng,po2sang3,po2sang3,posang,posang,ps,ps
修容,siu-iông,25,siu-iông,siu1iong5,siu1iong5,siuiong,siuiong,si,si
倒子,tò-jí,25,tò-jí,to3ji2,to3ji2,toji,toji,tj,tj
倒子,tò-lí,25,tò-lí,to3li2,to3li2,toli,toli,tl,tl
倒投,tò-tâu,25,tò-tâu,to3tau5,to3tau5,totau,totau,tt,tt
倒拍,tò-phah,25,tò-phah,to3phah4,to3phah4,tophah,tophah,tp,tp
倒支,tò-ki,25,tò-ki,to3ki1,to3ki1,toki,toki,tk,tk
倫敦,lûn-tun,25,lûn-tun,lun5tun1,lun5tun1,luntun,luntun,lt,lt
健力,kiān-li̍k,25,kiān-le̍k,kian7lik8,kian7lek8,kianlik,kianlek,kl,kl
健美,kiān-bí,25,kiān-bí,kian7bi2,kian7bi2,kianbi,kianbi,kb,kb
側投,tshik-tâu,25,chhek-tâu,tshik4tau5,chhek4tau5,tshiktau,chhektau,tt,ct
偷壘,thau-luí,25,thau-lúi,thau1lui2,thau1lui2,thaului,thaului,tl,tl
備份,pī-hūn,25,pī-hūn,pi7hun7,pi7hun7,pihun,pihun,ph,ph
傭兵,iông-ping,25,iông-peng,iong5ping1,iong5peng1,iongping,iongpeng,ip,ip
傳球,thuân-kiû,25,thoân-kiû,thuan5kiu5,thoan5kiu5,thuankiu,thoankiu,tk,tk
優格,iu-keh,25,iu-keh,iu1keh4,iu1keh4,iukeh,iukeh,ik,ik
光面,kng-bīn,25,kng-bīn,kng1bin7,kng1bin7,kngbin,kngbin,kb,kb
入數,ji̍p-siàu,25,ji̍p-siàu,jip8siau3,jip8siau3,jipsiau,jipsiau,js,js
入數,li̍p-siàu,25,li̍p-siàu,lip8siau3,lip8siau3,lipsiau,lipsiau,ls,ls
內建,luē-kiàn,25,lōe-kiàn,lue7kian3,loe7kian3,luekian,loekian,lk,lk
內文,lāi-bûn,25,lāi-bûn,lai7bun5,lai7bun5,laibun,laibun,lb,lb
內野,lāi-iá,25,lāi-iá,lai7ia2,lai7ia2,laiia,laiia,li,li
全妝,tsuân-tsong,25,choân-chong,tsuan5tsong1,choan5chong1,tsuantsong,choanchong,tt,cc
全馬,tsuân-má,25,choân-má,tsuan5ma2,choan5ma2,tsuanma,choanma,tm,cm
全麥,tsuân-be̍h,25,choân-be̍h,tsuan5beh8,choan5beh8,tsuanbeh,choanbeh,tb,cb
兩塊,nn̄g-tè,25,nn̄g-tè,nng7te3,nng7te3,nngte,nngte,nt,nt
八角,peh-kak,25,peh-kak,peh4kak4,peh4kak4,pehkak,pehkak,pk,pk
八角,pueh-kak,25,poeh-kak,pueh4kak4,poeh4kak4,puehkak,poehkak,pk,pk
公論,kong-lūn,25,kong-lūn,kong1lun7,kong1lun7,konglun,konglun,kl,kl
冊迷,tsheh-bê,25,chheh-bê,tsheh4be5,chheh4be5,tshehbe,chhehbe,tb,cb
冰壺,ping-ôo,25,peng-ô͘,ping1oo5,peng1oo5,pingoo,pengoo,po,po
冰沙,ping-sua,25,peng-soa,ping1sua1,peng1soa1,pingsua,pengsoa,ps,ps
冰磚,ping-tsng,25,peng-chng,ping1tsng1,peng1chng1,pingtsng,pengchng,pt,pc
冷麵,líng-mī,25,léng-mī,ling2mi7,leng2mi7,lingmi,lengmi,lm,lm
凝霜,gîng-song,25,gêng-song,ging5song1,geng5song1,gingsong,gengsong,gs,gs
凝露,gîng-lōo,25,gêng-lō͘,ging5loo7,geng5loo7,gingloo,gengloo,gl,gl
刀術,to-su̍t,25,to-su̍t,to1sut8,to1sut8,tosut,tosut,ts,ts
分道,pun-tō,25,pun-tō,pun1to7,pun1to7,punto,punto,pt,pt
分頁,hun-ia̍h,25,hun-ia̍h,hun1iah8,hun1iah8,huniah,huniah,hi,hi
切球,tshiat-kiû,25,chhiat-kiû,tshiat4kiu5,chhiat4kiu5,tshiatkiu,chhiatkiu,tk,ck
刣掉,thâi-tiāu,25,thâi-tiāu,thai5tiau7,thai5tiau7,thaitiau,thaitiau,tt,tt
利劍,lāi-kiàm,25,lāi-kiàm,lai7kiam3,lai7kiam3,laikiam,laikiam,lk,lk
刪除,san-tî,25,san-tî,san1ti5,san1ti5,santi,santi,st,st
刪除,san-tû,25,san-tû,san1tu5,san1tu5,santu,santu,st,st
制衡,tsè-hîng,25,chè-hêng,tse3hing5,che3heng5,tsehing,cheheng,th,ch
刺殺,tshì-sat,25,chhì-sat,tshi3sat4,chhi3sat4,tshisat,chhisat,ts,cs
前跤,tsîng-kha,25,chêng-kha,tsing5kha1,cheng5kha1,tsingkha,chengkha,tk,ck
剪接,tsián-tsiap,25,chián-chiap,tsian2tsiap4,chian2chiap4,tsiantsiap,chianchiap,tt,cc
剪輯,tsián-tsi̍p,25,chián-chi̍p,tsian2tsip8,chian2chip8,tsiantsip,chianchip,tt,cc
劍術,kiàm-su̍t,25,kiàm-su̍t,kiam3sut8,kiam3sut8,kiamsut,kiamsut,ks,ks
加碼,ka-bé,25,ka-bé,ka1be2,ka1be2,kabe,kabe,kb,kb
助殺,tsōo-sat,25,chō͘-sat,tsoo7sat4,choo7sat4,tsoosat,choosat,ts,cs
勝投,sìng-tâu,25,sèng-tâu,sing3tau5,seng3tau5,singtau,sengtau,st,st
勼排,kiu-pâi,25,kiu-pâi,kiu1pai5,kiu1pai5,kiupai,kiupai,kp,kp
匿名,li̍k-miâ,25,le̍k-miâ,lik8mia5,lek8mia5,likmia,lekmia,lm,lm
半勝,puànn-sìng,25,pòaⁿ-sèng,puann3sing3,poann3seng3,puannsing,poannseng,ps,ps
半馬,puànn-má,25,pòaⁿ-má,puann3ma2,poann3ma2,puannma,poannma,pm,pm
協作,hia̍p-tsok,25,hia̍p-chok,hiap8tsok4,hiap8chok4,hiaptsok,hiapchok,ht,hc
南刀,lâm-to,25,lâm-to,lam5to1,lam5to1,lamto,lamto,lt,lt
南拳,lâm-kûn,25,lâm-kûn,lam5kun5,lam5kun5,lamkun,lamkun,lk,lk
南棍,lâm-kùn,25,lâm-kùn,lam5kun3,lam5kun3,lamkun,lamkun,lk,lk
卡粉,kha̍h-hún,25,kha̍h-hún,khah8hun2,khah8hun2,khahhun,khahhun,kh,kh
卵塔,nn̄g-thah,25,nn̄g-thah,nng7thah4,nng7thah4,nngthah,nngthah,nt,nt
卸妝,sià-tsong,25,sià-chong,sia3tsong1,sia3chong1,siatsong,siachong,st,sc
厚妝,kāu-tsong,25,kāu-chong,kau7tsong1,kau7chong1,kautsong,kauchong,kt,kc
厝貸,tshù-tāi,25,chhù-tāi,tshu3tai7,chhu3tai7,tshutai,chhutai,tt,ct
反向,huán-hiòng,25,hoán-hiòng,huan2hiong3,hoan2hiong3,huanhiong,hoanhiong,hh,hh
口碑,kháu-pi,25,kháu-pi,khau2pi1,khau2pi1,khaupi,khaupi,kp,kp
可送,khó-sòng,25,khó-sòng,kho2song3,kho2song3,khosong,khosong,ks,ks
司康,sir-kóng,25,sir-kóng,sir1kong2,sir1kong2,sirkong,sirkong,sk,sk
司康,su-kóng,25,su-kóng,su1kong2,su1kong2,sukong,sukong,sk,sk
合球,ha̍p-kiû,25,ha̍p-kiû,hap8kiu5,hap8kiu5,hapkiu,hapkiu,hk,hk
吊環,tiàu-khuân,25,tiàu-khoân,tiau3khuan5,tiau3khoan5,tiaukhuan,tiaukhoan,tk,tk
同步,tông-pōo,25,tông-pō͘,tong5poo7,tong5poo7,tongpoo,tongpoo,tp,tp
和絃,hô-hiân,25,hô-hiân,ho5hian5,ho5hian5,hohian,hohian,hh,hh
咖哩,ka-lí,25,ka-lí,ka1li2,ka1li2,kali,kali,kl,kl
品勢,phín-sè,25,phín-sè,phin2se3,phin2se3,phinse,phinse,ps,ps
啞鈴,à-lîng,25,à-lêng,a3ling5,a3leng5,aling,aleng,al,al
啟用,khé-iōng,25,khé-iōng,khe2iong7,khe2iong7,kheiong,kheiong,ki,ki
單巡,tuann-sûn,25,toaⁿ-sûn,tuann1sun5,toann1sun5,tuannsun,toannsun,ts,ts
單打,tan-tánn,25,tan-táⁿ,tan1tann2,tan1tann2,tantann,tantann,tt,tt
單槓,tan-kǹg,25,tan-kǹg,tan1kng3,tan1kng3,tankng,tankng,tk,tk
回合,huê-ha̍p,25,hôe-ha̍p,hue5hap8,hoe5hap8,huehap,hoehap,hh,hh
回合,hê-ha̍p,25,hê-ha̍p,he5hap8,he5hap8,hehap,hehap,hh,hh
回沖,huê-tshiong,25,hôe-chhiong,hue5tshiong1,hoe5chhiong1,huetshiong,hoechhiong,ht,hc
回沖,hê-tshiong,25,hê-chhiong,he5tshiong1,he5chhiong1,hetshiong,hechhiong,ht,hc
圍棋,uî-kî,25,ûi-kî,ui5ki5,ui5ki5,uiki,uiki,uk,uk
圖示,tôo-sī,25,tô͘-sī,too5si7,too5si7,toosi,toosi,ts,ts
地板,tuē-pán,25,tōe-pán,tue7pan2,toe7pan2,tuepan,toepan,tp,tp
地板,tē-pán,25,tē-pán,te7pan2,te7pan2,tepan,tepan,tp,tp
坦邊,thán-pinn,25,thán-piⁿ,than2pinn1,than2pinn1,thanpinn,thanpinn,tp,tp
場務,tiûnn-bū,25,tiûⁿ-bū,tiunn5bu7,tiunn5bu7,tiunnbu,tiunnbu,tb,tb
墜機,tuī-ki,25,tūi-ki,tui7ki1,tui7ki1,tuiki,tuiki,tk,tk
壁球,piah-kiû,25,piah-kiû,piah4kiu5,piah4kiu5,piahkiu,piahkiu,pk,pk
壓制,ap-tsè,25,ap-chè,ap4tse3,ap4che3,aptse,apche,at,ac
壘包,luí-pau,25,lúi-pau,lui2pau1,lui2pau1,luipau,luipau,lp,lp
壘球,luí-kiû,25,lúi-kiû,lui2kiu5,lui2kiu5,luikiu,luikiu,lk,lk
壯遊,tsōng-iû,25,chōng-iû,tsong7iu5,chong7iu5,tsongiu,chongiu,ti,ci
壺鈴,ôo-lîng,25,ô͘-lêng,oo5ling5,oo5leng5,ooling,ooleng,ol,ol
外遇,guā-gū,25,gōa-gū,gua7gu7,goa7gu7,guagu,goagu,gg,gg
外野,guā-iá,25,gōa-iá,gua7ia2,goa7ia2,guaia,goaia,gi,gi
大叉,tuā-tshah,25,tōa-chhah,tua7tshah4,toa7chhah4,tuatshah,toachhah,tt,tc
大寫,tuā-siá,25,tōa-siá,tua7sia2,toa7sia2,tuasia,toasia,ts,ts
大骨,tuā-kut,25,tōa-kut,tua7kut4,toa7kut4,tuakut,toakut,tk,tk
大麥,tuā-be̍h,25,tōa-be̍h,tua7beh8,toa7beh8,tuabeh,toabeh,tb,tb
失事,sit-sū,25,sit-sū,sit4su7,sit4su7,sitsu,sitsu,ss,ss
失分,sit-hun,25,sit-hun,sit4hun1,sit4hun1,sithun,sithun,sh,sh
失誤,sit-gōo,25,sit-gō͘,sit4goo7,sit4goo7,sitgoo,sitgoo,sg,sg
夾殺,kiap-sat,25,kiap-sat,kiap4sat4,kiap4sat4,kiapsat,kiapsat,ks,ks
奈米,nāi-bí,25,nāi-bí,nai7bi2,nai7bi2,naibi,naibi,nb,nb
奕手,ī-tshiú,25,ī-chhiú,i7tshiu2,i7chhiu2,itshiu,ichhiu,it,ic
奕跤,ī-kha,25,ī-kha,i7kha1,i7kha1,ikha,ikha,ik,ik
套用,thò-iōng,25,thò-iōng,tho3iong7,tho3iong7,thoiong,thoiong,ti,ti
套路,thò-lōo,25,thò-lō͘,tho3loo7,tho3loo7,tholoo,tholoo,tl,tl
奶泡,ling-pho,25,leng-pho,ling1pho1,leng1pho1,lingpho,lengpho,lp,lp
奶泡,ni-pho,25,ni-pho,ni1pho1,ni1pho1,nipho,nipho,np,np
奶酒,ling-tsiú,25,leng-chiú,ling1tsiu2,leng1chiu2,lingtsiu,lengchiu,lt,lc
奶酒,ni-tsiú,25,ni-chiú,ni1tsiu2,ni1chiu2,nitsiu,nichiu,nt,nc
好球,hó-kiû,25,hó-kiû,ho2kiu5,ho2kiu5,hokiu,hokiu,hk,hk
妨礙,hông-gāi,25,hông-gāi,hong5gai7,hong5gai7,honggai,honggai,hg,hg
字元,jī-guân,25,jī-goân,ji7guan5,ji7goan5,jiguan,jigoan,jg,jg
字元,lī-guân,25,lī-goân,li7guan5,li7goan5,liguan,ligoan,lg,lg
存檔,tsûn-tóng,25,chûn-tóng,tsun5tong2,chun5tong2,tsuntong,chuntong,tt,ct
安入,an-ji̍p,25,an-ji̍p,an1jip8,an1jip8,anjip,anjip,aj,aj
安入,an-li̍p,25,an-li̍p,an1lip8,an1lip8,anlip,anlip,al,al
安打,an-tánn,25,an-táⁿ,an1tann2,an1tann2,antann,antann,at,at
完封,uân-hong,25,oân-hong,uan5hong1,oan5hong1,uanhong,oanhong,uh,oh
完投,uân-tâu,25,oân-tâu,uan5tau5,oan5tau5,uantau,oantau,ut,ot
定妝,tīng-tsong,25,tēng-chong,ting7tsong1,teng7chong1,tingtsong,tengchong,tt,tc
寄罪,kià-tsuē,25,kià-chōe,kia3tsue7,kia3choe7,kiatsue,kiachoe,kt,kc
密碼,bi̍t-bé,25,bi̍t-bé,bit8be2,bit8be2,bitbe,bitbe,bb,bb
封殺,hong-sat,25,hong-sat,hong1sat4,hong1sat4,hongsat,hongsat,hs,hs
射擊,siā-kik,25,siā-kek,sia7kik4,sia7kek4,siakik,siakek,sk,sk
射正,siā-tsiànn,25,siā-chiàⁿ,sia7tsiann3,sia7chiann3,siatsiann,siachiann,st,sc
射箭,siā-tsìnn,25,siā-chìⁿ,sia7tsinn3,sia7chinn3,siatsinn,siachinn,st,sc
射門,siā-mn̂g,25,siā-mn̂g,sia7mng5,sia7mng5,siamng,siamng,sm,sm
對拍,tuì-phah,25,tùi-phah,tui3phah4,tui3phah4,tuiphah,tuiphah,tp,tp
小叉,sió-tshah,25,sió-chhah,sio2tshah4,sio2chhah4,siotshah,siochhah,st,sc
小寫,sió-siá,25,sió-siá,sio2sia2,sio2sia2,siosia,siosia,ss,ss
尾氣,bué-khuì,25,bóe-khùi,bue2khui3,boe2khui3,buekhui,boekhui,bk,bk
尾氣,bé-khuì,25,bé-khùi,be2khui3,be2khui3,bekhui,bekhui,bk,bk
尾節,bué-tsat,25,bóe-chat,bue2tsat4,boe2chat4,buetsat,boechat,bt,bc
尾節,bé-tsat,25,bé-chat,be2tsat4,be2chat4,betsat,bechat,bt,bc
山友,suann-iú,25,soaⁿ-iú,suann1iu2,soann1iu2,suanniu,soanniu,si,si
山球,suann-kiû,25,soaⁿ-kiû,suann1kiu5,soann1kiu5,suannkiu,soannkiu,sk,sk
山竹,suann-tik,25,soaⁿ-tek,suann1tik4,soann1tek4,suanntik,soanntek,st,st
崁名,khàm-miâ,25,khàm-miâ,kham3mia5,kham3mia5,khammia,khammia,km,km
巨集,kī-tsi̍p,25,kī-chi̍p,ki7tsip8,ki7chip8,kitsip,kichip,kt,kc
巨集,kū-tsi̍p,25,kū-chi̍p,ku7tsip8,ku7chip8,kutsip,kuchip,kt,kc
巴哥,pa-ko,25,pa-ko,pa1ko1,pa1ko1,pako,pako,pk,pk
布丁,pòo-ting,25,pò͘-teng,poo3ting1,poo3teng1,pooting,pooteng,pt,pt
布陣,pòo-tīn,25,pò͘-tīn,poo3tin7,poo3tin7,pootin,pootin,pt,pt
帆船,phâng-tsûn,25,phâng-chûn,phang5tsun5,phang5chun5,phangtsun,phangchun,pt,pc
幌壺,hàinn-ôo,25,hàiⁿ-ô͘,hainn3oo5,hainn3oo5,hainnoo,hainnoo,ho,ho
弄舌,lāng-tsi̍h,25,lāng-chi̍h,lang7tsih8,lang7chih8,langtsih,langchih,lt,lc
彈劾,tân-hik,25,tân-hek,tan5hik4,tan5hek4,tanhik,tanhek,th,th
彗星,huī-tshinn,25,hūi-chhiⁿ,hui7tshinn1,hui7chhinn1,huitshinn,huichhinn,ht,hc
影迷,iánn-bê,25,iáⁿ-bê,iann2be5,iann2be5,iannbe,iannbe,ib,ib
後跤,āu-kha,25,āu-kha,au7kha1,au7kha1,aukha,aukha,ak,ak
得分,tit-hun,25,tit-hun,tit4hun1,tit4hun1,tithun,tithun,th,th
徛槳,khiā-tsiúnn,25,khiā-chiúⁿ,khia7tsiunn2,khia7chiunn2,khiatsiunn,khiachiunn,kt,kc
徛琴,hah-phuh,25,hah-phuh,hah4phuh4,hah4phuh4,hahphuh,hahphuh,hp,hp
徛琴,khiā-khîm,25,khiā-khîm,khia7khim5,khia7khim5,khiakhim,khiakhim,kk,kk
復刻,ho̍k-khik,25,ho̍k-khek,hok8khik4,hok8khek4,hokkhik,hokkhek,hk,hk
快送,khuài-sàng,25,khoài-sàng,khuai3sang3,khoai3sang3,khuaisang,khoaisang,ks,ks
惡地,ok-tē,25,ok-tē,ok4te7,ok4te7,okte,okte,ot,ot
